PI RCR,PI JIF
0.254216245,3.122826087
0.337836584,4.384
0.37521063,5.462153846
0.192732206,4.262785714
0.263948628,4.928791667
0.351209634,5.58725
0.705335308,6.728184211
0.434237819,4.913666667
0.404662894,2.944521739
0.262232193,4.4505
0.419414088,5.480709677
0.205443622,2.34909434
0.260997481,4.01
0.363118574,5.075071429
0.416505195,3.214916667
0.319723954,2.2184375
0.274138323,5.488769231
0.289897438,3.383722222
0.57093321,3.819473684
0.315058195,5.999375
0.202313691,4.801176471
0.265366135,4.329230769
0.425760297,4.887176471
0.466555749,3.960333333
0.330096116,6.9441875
0.823045507,10.4985
0.312251925,5.497192308
0.519572425,4.222461538
0.608691864,4.622
0.374859507,3.403093023
0.388504831,4.3620625
0.319432277,4.870875
0.290147419,4.42272
0.304757797,4.056269231
0.394660744,3.853791667
0.373021274,3.171117647
0.341367854,4.601265306
0.316689634,6.443095238
0.330900824,4.111897959
0.321076176,3.603758621
0.352846239,2.542823529
0.502049538,4.365388889
0.32275615,4.214347826
0.370079722,4.701
0.490603701,5.778290323
0.371195291,5.856740741
0.290876708,2.803
1.226416415,9.681588235
0.612773789,4.98447619
0.385865271,4.479027027
0.428755226,3.6235
0.446433995,6.105416667
0.515801756,4.171470588
0.464456644,8.679416667
0.396787453,6.241884615
0.328834038,3.045576923
0.353273037,5.655115385
0.372413909,3.445967742
0.288457114,4.859884615
0.318841975,3.871037037
0.398066287,5.24676
0.48894929,5.62445
0.40230769,5.616677419
0.385045173,3.049733333
0.549668863,9.4548
0.318413234,3.430066667
1.281044263,4.734058824
0.331355499,5.336615385
0.297030412,3.063318182
0.410109701,4.165185185
0.430402418,6.539666667
0.357031966,6.982142857
0.633664779,3.139114286
0.539761169,7.2142
0.458400021,6.479631579
0.633363203,5.612074074
0.494694202,10.0031875
0.842740436,4.715125
0.47306248,4.647757576
0.397936162,5.2369375
0.337042145,5.66015
0.395087363,6.738935484
0.447873326,7.79721875
0.415296056,3.658052632
0.576429504,6.612235294
0.353315495,4.355470588
0.406781616,5.155225806
0.90473232,6.885058824
0.28920263,6.117529412
0.502337047,4.688782609
0.436616557,2.620866667
0.317515243,3.0732
0.566809596,4.86915
0.442724082,5.42396
0.534513009,5.160661017
0.334339734,3.014
0.347291457,3.14985
0.509734015,3.642176471
0.316753357,5.277565217
0.432647225,4.080413793
0.397974854,4.0436
0.452127543,4.34768
0.324922499,6.389571429
0.38704167,4.778529412
0.53660178,4.231615385
0.349978489,3.034291667
0.305448554,4.304209302
0.305664462,4.301944444
0.341366946,4.854333333
0.403360366,3.103878788
0.550487139,4.50195
0.35354764,5.606428571
0.396474877,5.540222222
0.662126281,9.874227273
0.314520542,2.59975
0.313538916,3.5077
0.514627763,4.485431818
0.588369209,3.118541667
0.389108346,4.830333333
0.312254424,4.990714286
0.466226395,6.349117647
0.657930149,3.027064516
0.463623761,2.83725
0.383875208,5.0498125
0.434504832,1.917863636
0.38816423,2.99925
0.456501351,4.195611111
0.376242165,3.8565
0.539859618,3.576829787
0.417851061,6.629157895
1.06041435,9.375809524
0.416179202,4.057631579
0.525705899,3.177
0.446411384,5.127214286
0.394767197,4.138875
0.366307578,2.366333333
0.469660043,3.748214286
0.435307506,3.406043478
0.428287339,4.369296296
0.376993517,4.016157895
0.337629571,2.732035714
0.583693768,4.020571429
0.377229443,4.547619048
0.549192229,5.435594595
0.517201614,4.170259259
0.561063927,5.1755
0.427581863,4.206033333
0.537267334,5.339823529
0.434715513,4.1245
0.352513883,6.023823529
0.356332419,5.774344828
0.573956748,4.320307692
0.640112251,5.990923077
0.747516603,10.24064286
0.392400578,5.672529412
0.378730686,3.9946
0.481637714,9.313764706
0.418302742,6.897628571
0.442807797,5.540875
0.467177518,5.003684211
0.383150743,4.069636364
0.606947694,3.97595
0.464419581,4.696
0.351817257,3.52475
0.397603399,4.931923077
