MeanScore,RCR,LogRCR
3,0.472439238,-0.325654039
4.5,3.43106573,0.535429038
3.333333333,0.329512532,-0.482128063
3,2.74912253,0.439194097
2,1.490417161,0.173307842
2.5,0.184468343,-0.734078154
2,0.633927909,-0.197960128
3.5,0.465397075,-0.33217635
1.5,0.344156242,-0.46324435
3.666666667,8.732559723,0.941141565
1,0.234410634,-0.63002269
1,0.079121914,-1.101703215
2.5,0.570442926,-0.243787801
2.5,0.262675106,-0.580581084
3.5,1.681176835,0.225613397
2.5,0.275322721,-0.560157946
3,0.4559502,-0.341082589
2.5,1.722744223,0.236220802
3,0.063838491,-1.194917391
2,0.238969047,-0.621658348
1.5,0.108991233,-0.962608433
3,1.024302506,0.010428235
4,1.160629092,0.064693452
2.5,0.079056925,-1.10206008
3,0.248525233,-0.604629511
3.75,7.935063579,0.899550411
2.5,0.125137819,-0.902611418
2.5,5.030343961,0.701597682
2,0,-2
1.5,0.22854084,-0.641036181
4,8.452952463,0.927008427
3.5,0.161639432,-0.791452683
2.5,2.910466579,0.463962617
3.5,0.546106983,-0.26272227
3.666666667,1.674113456,0.223784887
1.5,0.095945381,-1.017975927
3.5,2.756975996,0.440432985
3.333333333,0.290931598,-0.536209108
2.333333333,0.509097225,-0.29319927
3,2.097852588,0.321774968
3,0.207601799,-0.682768887
3.666666667,0.860907017,-0.065043752
3.5,0.203829179,-0.690733646
4,0.618341766,-0.208771418
3,1.992175303,0.299327552
2,0.296716902,-0.527657714
3,4.415212246,0.644951586
4,0.141082874,-0.850525703
2.75,0.329344035,-0.482350198
4,7.763690033,0.890068188
2,0.592661407,-0.227193353
1.5,0.177086553,-0.751814415
1.5,0,-2
2.5,0.221347533,-0.654925314
2,0.105745096,-0.975739763
4,4.850522477,0.685788521
2.4,0.253232248,-0.596480989
3,0.580097758,-0.236498813
3,0.774896323,-0.1107564
3,0.242561729,-0.61517772
2,0.880276561,-0.055380862
4,0.70495271,-0.151840016
2,0.512422225,-0.290372042
3,0.663951297,-0.177863776
2,0.168202296,-0.774168081
4,2.046253546,0.310959445
1,0.119131215,-0.923974427
3,0.245053904,-0.610738375
2.333333333,0.288298734,-0.540157265
2.5,1.894503809,0.277495483
2.5,0.116908811,-0.932152755
2.5,0.812741618,-0.090047501
2.666666667,0,-2
4,1.054710544,0.023133288
3.5,0.059290043,-1.227018237
2,0.060612461,-1.217438084
3,0.30337875,-0.518014842
2,0.233104663,-0.632449039
3,0.317076952,-0.498835326
2,0.162101029,-0.790214227
4,5.889554524,0.770082447
2,0.116467314,-0.933795939
2.5,0.04504169,-1.346385322
2,0.146088022,-0.83538539
4.5,13.985794,1.145687127
2,0.383270702,-0.416494377
3.5,0.721481264,-0.141774943
2.5,3.369465745,0.527561046
3.5,1.509012177,0.178692744
2.5,0.461278968,-0.336036347
2.5,0.739450239,-0.131091046
1.333333333,0.046139196,-1.335929982
2.5,1.086266964,0.035936572
3.5,1.962144031,0.292730884
4,0.397340589,-0.400837069
4,1.36809834,0.136117316
3.25,1.073579938,0.030834387
2.666666667,0.418459366,-0.378346708
3.25,0.141531341,-0.849147378
2.333333333,0.067512346,-1.170616803
2.333333333,0.55271352,-0.257499912
2.25,0.174069762,-0.759276665
4,0.943511927,-0.025252605
3.5,21.60184574,1.334490861
