CPY:FCR,CPY:medianFCR
0.167504188,0.167504188
0.167504188,0.167504188
0.106914301,0.168095478
0.155942987,0.168095478
0.161930208,0.168392692
0.082364467,0.168435237
0.16708019,0.168776371
0.181433323,0.169462803
0.137047316,0.169549
0.174155347,0.174155347
0.175070028,0.175070028
0.093222709,0.175392441
0.175901495,0.175901495
0.033065503,0.17758835
0.178157848,0.178157848
0.138180925,0.179888469
0.081291778,0.179888469
0.149902563,0.183452578
0.11453879,0.184060372
0.184672207,0.184672207
0.177842987,0.189825361
0.191791331,0.191791331
0.193124759,0.193124759
0.186167737,0.197005516
0.205128205,0.198767641
0.196482955,0.198767641
0.092053786,0.199600798
0.17988038,0.205380982
0.205530643,0.206143063
0.223732416,0.210039908
0.223732416,0.210039908
0.209361448,0.210039908
0.223732416,0.210039908
0.210703751,0.210703751
0.215331611,0.215331611
0.21602938,0.21602938
0.216943269,0.216943269
0.217296827,0.217296827
0.217438574,0.217438574
0.218292949,0.218292949
0.21893815,0.218866273
0.218866273,0.218866273
0.175446991,0.218866273
0.232045481,0.232045481
0.236742424,0.236742424
0.239980802,0.239980802
0.218007412,0.240760804
0.24691358,0.24691358
0.181686047,0.266028199
0.275709953,0.275709953
0.291375291,0.291375291
0.302343159,0.291375291
0.166452656,0.298685783
0.305810398,0.305810398
0.322684737,0.322684737
0.233293428,0.333333333
0.23764772,0.333333333
0.256398655,0.335008375
0.339789331,0.339789331
0.326980568,0.340309682
0.166757625,0.344352617
0.257682149,0.348766239
0.350140056,0.350140056
0.350508237,0.350508237
0.357079093,0.357079093
0.261745845,0.36589828
0.224580316,0.368629619
0.297811088,0.370164723
0.351519287,0.37037037
0.37037037,0.37037037
0.182275783,0.371505526
0.341602972,0.37327361
0.375886249,0.373901664
0.381825124,0.381825124
0.362161379,0.387371683
0.390548721,0.390548721
0.4100041,0.4100041
0.12588513,0.410635458
0.309322198,0.414722654
0.417710944,0.417710944
0.19752481,0.420079815
0.172169748,0.425170068
0.278727987,0.430941607
0.438596491,0.430941607
0.434027778,0.434027778
0.436585898,0.436585898
0.426887335,0.437732545
0.452944137,0.437732545
0.439045807,0.443704936
0.34312808,0.444444444
0.452898551,0.452898551
0.204989443,0.466526709
0.482392668,0.482392668
