STPI_Internal_Correlation,IRP_Internal_Correlation
0.292307,0.453163
0.321685,0.497529
0.32211,0.508902
0.297749,0.445238
0.32755,0.43389
0.337217,0.388537
0.31236,0.379402
0.343903,0.545273
0.34101,0.381762
0.338845,0.413051
0.3328,0.477616
0.273846,0.493413
0.267778,0.32441
0.28991,0.460946
0.332936,0.521515
0.324258,0.287302
0.316081,0.489053
0.312046,0.440875
0.306216,0.464154
0.33123,0.401264
0.31285,0.406658
0.267327,0.537015
0.269171,0.455994
0.321391,0.516422
0.342793,0.442589
0.333295,0.3873
0.335776,0.483507
0.328137,0.510528
0.306277,0.378465
0.313281,0.417151
0.324894,0.442856
0.30696,0.547386
0.316279,0.460332
0.310233,0.482026
0.32743,0.393895
0.329498,0.345273
0.357305,0.480443
0.337043,0.458929
0.334353,0.445064
0.315053,0.446591
0.347067,0.363071
0.282106,0.388974
0.322526,0.347705
0.316622,0.419656
0.328221,0.378205
0.337434,0.460815
0.311085,0.442865
0.325258,0.484972
0.35499,0.436236
0.342457,0.384462
0.291392,0.461273
0.327831,0.378971
0.3515,0.426785
0.263417,0.391003
0.314795,0.384382
0.365801,0.382797
0.367005,0.523158
0.327458,0.394107
0.362126,0.343255
0.341052,0.485937
0.331037,0.322241
0.301939,0.516995
0.335633,0.449863
0.339478,0.381647
0.329682,0.480569
0.316737,0.456969
0.277206,0.470863
0.330618,0.33655
0.336588,0.410407
0.301852,0.478031
0.314882,0.567894
0.313492,0.471025
0.27527,0.483243
0.341875,0.48027
0.346214,0.465409
0.342109,0.416481
0.347695,0.566014
0.278851,0.412078
0.308873,0.317284
0.281963,0.413376
0.324162,0.391176
0.344897,0.479343
0.324552,0.402364
0.33889,0.434761
0.304649,0.435767
0.307555,0.491503
0.322,0.357189
0.347729,0.491895
0.298778,0.572283
0.300254,0.40658
0.336012,0.505917
0.309822,0.431586
0.302428,0.391248
0.307681,0.36052
0.339667,0.417856
0.329062,0.404239
0.318106,0.361183
0.328041,0.426771
0.290193,0.517723
0.346458,0.508245
0.326375,0.294916
0.323392,0.444171
0.310045,0.479574
0.315491,0.453333
0.319566,0.359123
0.343981,0.499984
0.33279,0.457981
0.366973,0.422103
0.324113,0.379862
0.332596,0.336476
0.302443,0.445329
0.307174,0.44126
0.315983,0.389781
0.309396,0.388151
0.289314,0.476084
0.336946,0.391086
0.300557,0.380254
0.316907,0.452089
0.337049,0.440005
0.333013,0.394879
0.288374,0.486133
0.336421,0.456474
0.341062,0.490213
0.30303,0.406637
0.322176,0.455189
0.31775,0.476206
0.343954,0.464244
0.34913,0.4638
0.355866,0.425559
0.340019,0.534415
0.329592,0.447446
0.312328,0.446439
0.310887,0.393875
0.31707,0.398227
0.286176,0.455893
0.387821,0.371416
0.318211,0.508951
0.280272,0.340499
0.33576,0.439875
0.331316,0.341888
0.313011,0.504285
0.334262,0.424346
0.334412,0.318336
0.314814,0.567622
0.288073,0.499963
0.366234,0.379402
0.350219,0.372647
0.298246,0.40778
0.287341,0.392427
0.303341,0.442265
0.288602,0.425559
0.316565,0.385484
0.336851,0.425919
0.332069,0.364964
0.339971,0.513906
0.360094,0.38852
0.344455,0.405323
0.324212,0.469296
0.319428,0.421236
0.316242,0.376606
0.335282,0.473181
0.323992,0.394879
0.333805,0.41464
0.357294,0.48024
0.354434,0.388803
0.298809,0.491503
0.303272,0.407874
0.313088,0.405333
0.26506,0.476893
0.306426,0.484613
0.294035,0.53757
0.331229,0.423196
0.31317,0.453113
0.323428,0.516363
0.306607,0.463363
0.367368,0.364654
0.258547,0.486423
0.309031,0.447597
0.285188,0.442947
0.324361,0.466263
0.286511,0.474176
0.329829,0.416656
0.325092,0.54068
0.351128,0.375426
0.333538,0.513878
0.321321,0.4658
0.30273,0.476423
0.292429,0.416653
0.356572,0.563529
0.300228,0.52249
0.285709,0.423084
0.298021,0.489652
0.304938,0.457131
0.352488,0.374166
0.317775,0.560169
0.312862,0.527897
0.276779,0.417081
0.296419,0.445219
0.344718,0.447281
0.316149,0.296924
0.313258,0.436733
0.287921,0.363495
0.30579,0.464604
0.326045,0.414871
0.36106,0.439742
0.35537,0.382754
0.276006,0.500068
0.33317,0.498512
0.298009,0.513232
0.319165,0.461949
0.320835,0.423318
0.323771,0.490379
0.343521,0.418203
0.314062,0.35547
0.356939,0.501754
0.31394,0.329104
0.286784,0.399312
0.338554,0.407343
0.313998,0.432585
0.296309,0.476579
0.344126,0.377931
0.285934,0.526639
0.342563,0.388537
0.269678,0.348201
0.300337,0.471065
0.333591,0.479414
0.275733,0.440623
0.351115,0.45643
0.29862,0.450869
0.336657,0.413394
0.307777,0.388661
0.339604,0.448013
0.343832,0.481124
0.276639,0.392671
0.337133,0.42427
0.297877,0.355643
0.368891,0.430436
0.319502,0.487208
0.343169,0.391205
0.277958,0.403007
0.341238,0.572631
0.316621,0.445803
0.338313,0.491361
0.346931,0.453987
0.292855,0.427928
0.294434,0.52002
0.305029,0.364672
0.324067,0.396928
0.319761,0.476747
0.325839,0.451127
0.296014,0.385827
0.32979,0.426237
0.366547,0.48505
0.313085,0.497969
0.368167,0.388189
0.358083,0.489652
0.310097,0.338214
0.312547,0.425924
0.342264,0.513676
0.327562,0.462638
0.332441,0.461732
0.374063,0.444732
0.32965,0.369019
0.309016,0.459353
0.344331,0.367285
0.363978,0.31956
0.333099,0.560044
0.275851,0.477455
0.340108,0.555801
0.381985,0.301452
0.354373,0.397166
0.342908,0.462049
0.339396,0.430108
0.343582,0.459432
0.272674,0.515152
0.340255,0.33437
0.332632,0.470051
0.335634,0.440875
0.339164,0.513174
0.313902,0.430108
0.362363,0.450109
0.340973,0.371736
0.306223,0.403918
0.349702,0.459561
0.323161,0.519814
0.26417,0.336936
0.302446,0.477239
0.338838,0.543719
0.27649,0.459839
0.341336,0.49398
0.290733,0.474104
0.336605,0.419538
0.29802,0.480569
0.329065,0.389127
0.314384,0.531934
0.305926,0.427905
0.372667,0.507245
0.308977,0.477276
0.344563,0.514686
0.297832,0.426927
0.282658,0.49299
0.293559,0.428527
0.285169,0.41681
0.304781,0.466532
0.346069,0.401264
0.349649,0.491503
0.330962,0.385452
0.322206,0.517967
0.293266,0.487232
0.334343,0.536384
0.328833,0.523872
0.279997,0.487705
0.341348,0.467812
0.361378,0.502843
0.331214,0.389682
0.310845,0.454864
0.332062,0.516363
0.330568,0.490588
0.294706,0.395347
0.357585,0.467598
0.354675,0.356086
0.322426,0.427173
0.364844,0.312816
0.340778,0.427139
0.342924,0.414436
0.30807,0.398687
0.346058,0.386419
0.345527,0.382407
0.33848,0.452726
0.372062,0.437239
0.289814,0.477069
0.294314,0.409919
0.324725,0.469896
0.32694,0.480314
0.338922,0.410122
0.331556,0.416169
0.354578,0.464244
0.277001,0.510488
0.356139,0.378481
0.275244,0.425489
0.322879,0.459054
0.28238,0.417033
0.308936,0.482005
0.32505,0.385484
0.359333,0.351172
0.347932,0.428903
0.334899,0.435989
0.267103,0.442379
0.337758,0.488891
0.288957,0.41103
0.277878,0.409922
0.310073,0.347119
0.272599,0.446591
0.29095,0.391428
0.299,0.363197
0.274622,0.314973
0.341606,0.522772
0.307173,0.456522
0.32066,0.424563
0.290851,0.399509
0.268707,0.515169
0.306023,0.521788
0.298162,0.486518
0.332868,0.430295
0.345769,0.434997
0.35846,0.345951
0.316845,0.42372
0.279145,0.427635
0.323651,0.443624
0.347023,0.442399
0.330568,0.512517
0.348353,0.552264
0.339317,0.411314
0.295418,0.513705
0.298346,0.460332
0.316435,0.401771
0.284858,0.34634
0.283803,0.476747
0.319111,0.453099
0.311593,0.413033
0.305825,0.528717
0.323331,0.529467
0.336178,0.462503
0.297083,0.457027
0.305069,0.443433
0.329033,0.427993
0.357976,0.461402
0.348515,0.465997
0.346756,0.411386
0.348981,0.521307
0.312976,0.337892
0.306632,0.343821
0.324255,0.428361
0.294411,0.32441
0.3089,0.410219
0.316965,0.530861
0.303769,0.461669
0.319559,0.433043
0.350019,0.462288
0.359021,0.470863
0.39204,0.360059
0.310404,0.579888
0.339803,0.506535
0.348311,0.476043
0.292578,0.490129
0.306837,0.463892
0.326299,0.52779
0.306953,0.452625
0.330849,0.433801
0.323235,0.478691
0.310948,0.388354
0.352139,0.447032
0.34824,0.430436
0.34562,0.52249
0.307444,0.454266
0.334405,0.525244
0.363839,0.42716
0.301683,0.2856
0.358621,0.363451
0.338942,0.384981
0.282614,0.391435
0.293949,0.454767
0.291667,0.481418
0.337133,0.396856
0.296991,0.431346
0.34649,0.423245
0.368728,0.417033
0.335279,0.452779
0.313378,0.468609
0.316951,0.46397
0.319938,0.480314
0.315562,0.430436
0.284152,0.512551
0.317175,0.31041
0.284726,0.443478
0.323528,0.442251
0.346084,0.470139
0.314552,0.43012
0.297331,0.494381
0.329201,0.404368
0.305876,0.41919
0.37034,0.383976
0.340583,0.392972
0.25565,0.35628
0.297716,0.445238
0.319172,0.496482
0.290212,0.414193
0.26489,0.534981
0.321646,0.352777
0.394473,0.517723
0.289821,0.481793
0.313923,0.435767
0.325224,0.472445
0.30047,0.348386
0.298765,0.420706
0.324931,0.426498
0.330935,0.456267
0.334983,0.401529
0.321676,0.422001
0.328889,0.463276
0.293044,0.473444
0.313707,0.339065
0.355903,0.533901
0.369371,0.479338
0.299909,0.429332
0.359373,0.460643
0.354798,0.43687
0.309378,0.435143
0.313002,0.313327
0.319637,0.358337
0.305088,0.537015
0.304908,0.474782
0.344521,0.415904
0.292704,0.593956
0.346131,0.436188
0.350921,0.42306
0.345677,0.468165
0.357329,0.386041
0.342125,0.412856
0.304387,0.487078
0.314594,0.528853
0.303281,0.426497
0.320261,0.433739
0.30643,0.460963
0.365062,0.367688
0.304307,0.446975
0.319834,0.37983
0.315057,0.452199
0.320963,0.360501
0.330822,0.37455
0.325049,0.397681
0.311299,0.390929
0.338,0.483948
0.269369,0.406742
0.351948,0.432874
0.342423,0.488044
0.314975,0.479896
0.301306,0.355649
0.331114,0.579887
0.269294,0.355062
0.305078,0.385649
0.343262,0.460197
0.340549,0.466221
0.289337,0.433264
0.271532,0.364672
0.322642,0.426113
0.280586,0.52595
0.351431,0.392216
0.304529,0.487559
0.295269,0.419686
0.337821,0.395845
0.34036,0.466994
0.31974,0.455994
0.259998,0.58989
0.306443,0.389441
0.325545,0.49432
0.30118,0.363136
0.305435,0.411214
0.303318,0.569073
0.312669,0.496958
0.334362,0.379993
0.272184,0.432479
0.355611,0.378384
0.304268,0.358371
0.324962,0.465997
0.274716,0.408122
0.293891,0.388692
0.30549,0.457131
0.353504,0.476865
0.292768,0.448705
0.3446,0.508211
0.333336,0.413954
0.285478,0.460005
0.335048,0.462388
0.335715,0.407614
0.318999,0.409124
0.360376,0.449777
0.336455,0.514858
0.333904,0.478473
0.278732,0.402253
0.276862,0.410869
0.327057,0.504159
0.345704,0.322907
0.297841,0.405333
0.312316,0.436642
0.284594,0.439842
0.28521,0.483828
0.273574,0.3949
0.297535,0.493437
0.328538,0.453099
0.319997,0.394879
0.340173,0.544019
0.349579,0.54921
0.304211,0.440073
0.323555,0.495992
0.336242,0.443478
0.35031,0.456155
0.295331,0.470304
0.311696,0.397744
0.363797,0.439355
0.329453,0.40396
0.334344,0.466871
0.316507,0.385003
0.285955,0.321069
0.374473,0.458453
0.33894,0.539696
0.295093,0.472445
0.332537,0.401622
0.324389,0.355492
0.30549,0.378059
0.356303,0.456385
0.312997,0.437948
0.33046,0.339065
0.29362,0.50714
0.316394,0.39156
0.323461,0.379033
0.341973,0.449291
0.320984,0.484318
0.369301,0.36479
0.296618,0.545983
0.318961,0.422951
0.318473,0.397173
0.31951,0.420836
0.336089,0.397984
0.367144,0.435443
0.348694,0.3957
0.318452,0.408144
0.341806,0.528126
0.304987,0.393326
0.290472,0.495771
0.37029,0.3609
0.390035,0.403758
0.30301,0.47119
0.379451,0.391003
0.27063,0.475738
0.371336,0.490622
0.299185,0.469038
0.267382,0.514303
0.301172,0.413583
0.29798,0.465283
0.342805,0.452206
0.330397,0.536876
0.315396,0.366969
0.374124,0.527714
0.344983,0.538947
0.315874,0.428695
0.340405,0.453333
0.311244,0.387784
0.354243,0.46297
0.313095,0.40402
0.337155,0.314621
0.285994,0.376715
0.318495,0.452648
0.317361,0.414354
0.316187,0.434073
0.30812,0.464967
0.297334,0.477606
0.349883,0.391925
0.353125,0.394891
0.369661,0.447104
0.320357,0.364689
0.309422,0.407378
0.328763,0.470078
0.334536,0.511406
0.313592,0.425559
0.305182,0.375631
0.331668,0.496298
0.330804,0.482026
0.353285,0.351835
0.327089,0.435904
0.282436,0.356251
0.323231,0.483507
0.311357,0.44229
0.343536,0.512254
0.335397,0.4638
0.315025,0.479753
0.348847,0.512074
0.326772,0.536887
0.320914,0.376796
0.2977,0.403282
0.329518,0.554991
0.318409,0.529482
0.287822,0.428361
0.32588,0.41543
0.324559,0.480411
0.330627,0.464825
0.298076,0.398066
0.313686,0.478554
0.313932,0.353557
0.315729,0.463965
0.322241,0.459629
0.274419,0.358178
0.364663,0.449291
0.301997,0.423351
0.324395,0.402421
0.294066,0.510744
0.307383,0.457245
0.344858,0.479338
0.320011,0.481655
0.316372,0.355948
0.312122,0.38465
0.346778,0.446579
0.337418,0.443347
0.341871,0.425418
0.2775,0.354973
0.373491,0.397186
0.296543,0.422382
0.319867,0.457489
0.318226,0.500972
0.290719,0.36826
0.317618,0.445698
0.353978,0.482734
0.322811,0.446872
0.318006,0.445934
0.277547,0.464043
0.310128,0.536553
0.360908,0.418199
0.367785,0.510635
0.313306,0.479343
0.320271,0.444171
0.330223,0.427928
0.371469,0.363561
0.37988,0.394008
0.344696,0.490336
0.291874,0.364869
0.30649,0.440351
0.336584,0.460643
0.331842,0.411751
0.312455,0.438143
0.355107,0.411048
0.32289,0.578937
0.273997,0.40672
0.297205,0.464275
0.327697,0.371
0.315556,0.480655
0.337907,0.484148
0.30277,0.477912
0.334836,0.427483
0.323245,0.49325
0.32633,0.365218
0.354027,0.490713
0.285766,0.405868
0.353547,0.373815
0.332861,0.486356
0.280199,0.441161
0.344851,0.406742
0.317602,0.591462
0.355466,0.471705
0.351396,0.507904
0.29809,0.433287
0.332074,0.464571
0.324315,0.36707
0.325092,0.488013
0.323914,0.400813
0.316021,0.471929
0.29721,0.41532
0.338865,0.473411
0.321228,0.437431
0.287277,0.477646
0.295694,0.460358
0.349707,0.439013
0.327167,0.425559
0.292397,0.468302
0.314167,0.426344
0.30471,0.366042
0.329836,0.55913
0.33522,0.510677
0.351851,0.447765
0.318681,0.419346
0.340884,0.491667
0.284719,0.457489
0.343633,0.401655
0.380849,0.397812
0.325104,0.469858
0.306806,0.427712
0.339369,0.36826
0.30736,0.362936
0.274878,0.422572
0.29387,0.471645
0.321281,0.438874
0.303553,0.482818
0.339627,0.373763
0.326049,0.432403
0.342837,0.482737
0.237737,0.436848
0.31643,0.4053
0.314694,0.453308
0.340536,0.422574
0.348106,0.40673
0.343607,0.508842
0.355862,0.536169
0.29032,0.417163
0.321899,0.573056
0.341696,0.366819
0.308663,0.398713
0.362134,0.442978
0.330433,0.5674
0.332588,0.367202
0.361418,0.420632
0.306013,0.377143
0.309539,0.402572
0.303034,0.355024
0.308333,0.419276
0.323557,0.533901
0.288772,0.447882
0.307158,0.4872
0.305013,0.450542
0.32978,0.455302
0.317137,0.438498
0.318179,0.466292
0.317622,0.371985
0.304267,0.403741
0.366187,0.511679
0.291791,0.593692
0.324437,0.47603
0.309873,0.551808
0.330649,0.472716
0.287113,0.422682
0.317996,0.464006
0.391644,0.538968
0.344579,0.424454
0.330331,0.328573
0.331553,0.491647
0.326838,0.463426
0.324562,0.314328
0.340355,0.50096
0.348382,0.41157
0.362553,0.468697
0.349383,0.469312
0.300302,0.373129
0.308997,0.446198
0.314982,0.409922
0.289048,0.492531
0.328393,0.387723
0.343482,0.41464
0.348362,0.390548
0.318676,0.408239
0.311752,0.424281
0.283897,0.57751
0.321186,0.385024
0.29556,0.536269
0.311265,0.39738
0.294255,0.4456
0.292657,0.360513
0.309138,0.451219
0.360328,0.530541
0.285025,0.486016
0.340275,0.522217
0.307431,0.410407
0.326494,0.446577
0.284944,0.424682
0.320049,0.422441
0.34114,0.447882
0.313634,0.413942
0.279457,0.440602
0.327556,0.455007
0.293704,0.43533
0.311132,0.383816
0.333335,0.508128
0.352587,0.471091
0.314896,0.575691
0.323481,0.42618
0.336739,0.53721
0.31845,0.435989
0.314872,0.4101
0.337892,0.368543
0.329807,0.390548
0.364515,0.452233
0.309422,0.494749
0.322508,0.457734
0.374115,0.393796
0.328318,0.443178
0.289804,0.434736
0.336298,0.432606
0.338824,0.491667
0.330261,0.360698
0.378473,0.470304
0.30515,0.375656
0.333889,0.477277
0.329053,0.446614
0.346527,0.432523
0.306908,0.36573
0.305393,0.555918
0.348775,0.419698
0.352151,0.408374
0.358449,0.337131
0.285112,0.420753
0.314326,0.482057
0.33684,0.368006
0.323445,0.42999
0.309015,0.368859
0.329036,0.506535
0.281761,0.534695
0.334034,0.464244
0.32076,0.519814
0.309552,0.47447
0.278107,0.427813
0.358841,0.37319
0.315007,0.44097
0.291704,0.402971
0.338111,0.430108
0.303947,0.510732
0.274352,0.415527
0.315598,0.471336
0.310169,0.539889
0.313315,0.485182
0.323979,0.394425
0.303885,0.298796
0.32869,0.508523
0.316686,0.463852
0.284177,0.391704
0.322654,0.414483
0.304919,0.54653
0.318143,0.395157
0.348433,0.597459
0.330772,0.393895
0.287866,0.50823
0.309692,0.426382
0.315635,0.483771
0.311657,0.340006
0.316454,0.470537
0.364846,0.389424
0.330439,0.363443
0.286876,0.576891
0.3158,0.446753
0.332118,0.404506
0.287215,0.418064
0.387938,0.466664
0.338299,0.479753
0.312906,0.467598
0.368151,0.480217
0.277322,0.485651
0.290091,0.420753
0.289825,0.486254
0.312486,0.415855
0.332806,0.360792
0.348213,0.372565
0.292973,0.449297
0.302434,0.399036
0.297944,0.427046
0.330685,0.35228
0.34875,0.354011
0.342492,0.402016
0.310657,0.293239
0.352025,0.452234
0.272549,0.393796
0.315981,0.429283
0.34419,0.487117
0.323663,0.489974
0.324956,0.412629
0.349536,0.462929
0.287214,0.446148
0.298755,0.46746
0.3364,0.503933
0.243034,0.36006
0.388635,0.385834
0.295935,0.364902
0.316649,0.473345
0.322707,0.389441
0.302114,0.42226
0.326803,0.377931
0.328794,0.439239
0.303905,0.515302
0.338346,0.395157
0.350963,0.540717
0.317346,0.397186
0.310627,0.397528
0.336795,0.507274
0.323657,0.541895
0.370359,0.447327
0.285589,0.479051
0.296287,0.359123
0.374357,0.420163
0.311899,0.527719
0.288687,0.373987
0.321992,0.287656
0.31979,0.468997
0.324136,0.3451
0.291782,0.416994
0.348424,0.421059
0.337875,0.453408
0.29592,0.499866
0.298272,0.360994
0.3284,0.413585
0.307424,0.424752
0.319901,0.46084
0.332268,0.341653
0.286616,0.375233
0.329201,0.432249
0.322771,0.430108
0.341888,0.504872
0.292707,0.453257
0.32038,0.439469
0.334324,0.387362
0.328304,0.465993
0.298106,0.384462
0.338161,0.357038
0.260967,0.448705
0.344397,0.430912
0.317312,0.404722
0.342529,0.413743
0.341986,0.521418
0.315636,0.55862
0.309862,0.36707
0.316738,0.364311
0.250828,0.482786
0.347605,0.426794
0.333805,0.328282
0.317757,0.376181
0.301698,0.446148
0.327785,0.493648
0.276098,0.504867
0.292074,0.324711
0.333683,0.485218
0.239123,0.381107
0.315965,0.449156
0.332872,0.507967
0.308521,0.406833
0.314663,0.363495
0.328534,0.394107
0.356814,0.413018
0.338534,0.444012
0.280206,0.357702
0.334877,0.500301
0.352015,0.337654
0.335962,0.389881
0.295502,0.475515
0.279426,0.382018
0.330913,0.359009
0.323876,0.369841
0.295707,0.408582
0.327329,0.437826
0.315307,0.430974
0.317088,0.49325
0.293943,0.440005
0.329274,0.348201
0.331599,0.482358
0.344952,0.383166
0.284707,0.417092
0.26762,0.419498
0.302847,0.414164
0.295338,0.443782
0.364206,0.452637
0.29055,0.358031
0.29553,0.368859
0.307632,0.381806
0.318956,0.440177
0.330395,0.376606
0.344747,0.363803
0.347214,0.529482
0.354552,0.385528
0.284609,0.379897
0.328355,0.436642
0.338756,0.381817
0.314119,0.425361
0.36282,0.462687
0.338159,0.433341
0.341859,0.383678
0.312734,0.561928
0.31493,0.478165
0.348797,0.486423
0.338312,0.393572
0.289645,0.530896
0.34051,0.404368
0.359081,0.434068
0.347129,0.397576
0.327721,0.434508
0.325066,0.360381
0.342423,0.388235
0.326849,0.37278
0.2498,0.470051
0.316624,0.423339
0.362512,0.485937
0.313106,0.429061
0.341446,0.497215
0.372409,0.462812
0.31153,0.417986
0.322602,0.476747
0.299029,0.410604
0.280934,0.483529
0.301373,0.453163
0.300784,0.439661
0.284427,0.392233
0.281146,0.444829
0.331267,0.420472
0.318495,0.306028
0.24021,0.364018
0.295416,0.44208
0.279235,0.417033
0.352457,0.41422
0.279883,0.472852
0.338573,0.435234
0.32775,0.418292
0.326775,0.457489
0.324213,0.427626
0.320454,0.525241
0.299413,0.486958
0.301126,0.405417
0.338015,0.469178
0.294408,0.504036
0.336407,0.478023
0.316137,0.383461
0.314778,0.395186
0.324337,0.417347
0.284214,0.475421
0.36086,0.390101
0.339135,0.436067
0.29668,0.516995
0.386794,0.462708
0.3089,0.456522
0.367942,0.407646
0.275907,0.349354
0.286776,0.443796
0.326184,0.521025
0.328267,0.410168
0.276839,0.420836
0.303929,0.400107
0.297109,0.456649
