Category Avg CPY,TR Ratio,FCR,RCR
3.347466667,4.082689397,6.169010753,2.510242718
8.966066667,0.260240462,12.19309524,0.231644231
4.4855,0.817448817,5.968036585,0.693139066
4.146233333,1.688279322,8.246967311,0.994185151
4.0723,2.046345636,6.917274968,1.384439417
4.146233333,1.929462082,15.001711,0.654081297
3.985633333,1.170872049,9.807864641,0.566326201
2.824633333,5.310423772,4.718262834,3.464451235
3.478666667,0.383288616,9.192570093,0.171655659
4.0723,0.982245905,7.568742718,0.613512595
2.193466667,0.759832229,3.419375,0.500245132
3.877366667,1.031627995,7.480650246,0.619948543
3.384633333,1.378780567,8.888621951,0.619418137
3.676155556,2.448209784,6.347492329,1.612471054
4.146233333,0.964731041,9.093992823,0.520037884
4.143533333,0.965359677,7.578189218,0.612830367
4.4855,1.18901646,9.626631737,0.658355246
3.22715,1.032903129,11.23220533,0.357093405
1.980033333,3.703641353,6.288354167,1.324649125
3.877366667,3.008914985,6.262648728,2.114941651
4.4209,0.753994285,7.949184932,0.489322257
3.604433333,0.27743612,3.587806452,0.288924411
8.966066667,0.706366969,11.51184567,0.66321201
3.347466667,1.394089062,6.561526158,0.812166713
2.0639,0.807532665,8.232241667,0.237091741
3.478966667,1.341394475,6.081728643,0.867845999
3.6811,2.897684569,10.52579713,1.213243083
3.604433333,2.774361203,5.998489362,1.882054684
3.300133333,1.11106622,5.238292035,0.77531668
3.982166667,0.837065249,7.924716279,0.490676436
3.6811,0.452763214,9.124808,0.216017511
4.032816667,1.157173026,8.810662409,0.624382364
4.143533333,1.287146236,8.173322148,0.763611178
4.2789,1.090622979,9.084452632,0.607289603
4.146233333,0.643154027,10.97307692,0.291900706
8.966066667,1.524265564,12.26268237,1.349609666
2.874533333,5.450160026,6.601008869,2.71224017
8.966066667,0.66918976,9.248094808,0.768231049
4.4855,0.445881173,7.805674766,0.298423797
4.4209,2.261982854,8.414108725,1.394823906
8.966066667,1.301202311,11.84682109,1.18964332
4.4209,0.829393713,8.394416076,0.512517081
1.554616667,2.35856642,2.2106,1.525903919
5.789333333,1.381851681,7.681122271,1.210987382
3.404477778,0.881192417,8.612223529,0.409747415
3.547083333,0.375895689,6.880091743,0.222566679
4.181433333,1.195762219,6.374478966,0.892501655
3.1957,0.104306829,5.42,0.068462237
2.0226,0.988826263,4.574676056,0.474004831
4.0723,1.555222683,10.87611719,0.698964077
