RCR (log) First Interval,d(logRCR),d(logRCR Randomized)
-0.17555,0.454017,0.57295
-0.44702,-0.05014,0.347334
-0.05936,0.120927,-0.19
0.020612,-0.07063,-0.37986
0.063275,-0.28319,-0.31528
0.136869,-0.20994,-0.35724
0.319939,-0.29928,-0.70769
-0.15619,0.061584,0.205247
0.398582,-0.19611,-0.72377
0.001036,0.043681,-0.5024
0.047376,-0.09543,-0.25315
-0.11344,-0.23058,-0.04064
0.047241,-0.14829,0.116279
0.040221,0.030973,-0.18861
0.65667,-0.65201,-0.95703
-0.29624,0.036497,-0.0415
-0.12791,-0.03088,0.289718
0.048864,-0.50211,-0.79107
-0.12043,-0.063,-0.35212
0.204926,-0.12566,-0.23837
-0.18057,-0.08746,-0.14997
0.321741,-0.24179,-0.63072
0.173106,-0.16653,0.025179
0.13143,0.151214,-0.14136
-0.26228,-0.05758,0.53584
0.095372,-0.11669,-0.20685
-0.28002,0.002679,0.327984
0.296393,-0.42298,-0.47299
0.1917,-0.19937,0.161584
-0.48976,0.244667,0.3341
0.019459,-0.05622,-0.52032
0.449203,-0.29449,-0.80668
-0.04,-0.25534,0.023294
-0.31649,0.083582,0.270135
0.164836,-0.80258,-0.54334
0.778331,-0.1851,-0.93202
-0.37551,0.105196,0.558586
0.167801,-0.01444,-0.52821
0.0000741,-0.12416,-0.25639
-0.1545,-0.04928,0.522631
0.201686,-0.19523,-0.58634
0.288183,0.117246,-0.47053
-0.53593,0.222472,0.594816
-0.17309,0.231133,-0.13096
-0.16372,0.084744,-0.14164
-0.17455,0.208229,0.023583
-0.19575,-0.20492,-0.03487
-0.26935,0.046474,0.216732
0.23059,-0.02856,-0.45191
0.244518,-0.39023,-0.41782
-0.04171,0.06297,0.166915
-0.11298,-0.16601,-0.316
-0.02953,0.142431,-0.66385
-0.07439,-0.13437,-0.10614
0.469979,-0.32875,-0.352
0.024265,0.042013,0.004539
0.278562,-0.19062,-0.51478
-0.16228,0.331087,-0.1236
0.137934,-0.09627,-0.49078
