RCR (log) First Interval,d(logRCR),d(logRCR Randomized)
0.020131,-0.23455,-0.05757
-0.3557,0.461483,0.268951
-0.02769,0.127041,-0.10437
0.155672,-0.15151,-0.06397
-0.28086,-0.16376,-0.10983
-0.05679,-0.01613,-0.07407
0.024755,0.053556,-0.06656
-0.09739,-0.04829,0.002476
-0.3212,-0.42574,0.126489
-0.14616,0.246212,0.164068
-0.08471,0.219729,0.088924
-0.09779,-0.01908,-0.52772
-0.43666,0.131237,0.592103
-0.35562,0.044046,0.180384
-0.30138,0.137172,0.31241
-0.09029,-0.02861,0.142844
-0.22025,-0.29983,0.543041
-0.07618,0.239963,0.222501
-0.10193,0.263744,0.168098
0.297522,-0.30064,-0.51767
0.179527,-0.01886,-0.678
-0.25639,-0.04671,0.150404
0.048906,-0.06195,-0.31994
-0.18567,-0.30942,0.159226
-0.07246,-0.37336,-0.22602
0.024118,-0.17364,-0.83523
-0.39031,0.244356,0.34628
0.044945,0.02338,-0.25083
-0.34325,0.229893,0.304289
-0.03399,-0.14902,-0.04861
-0.21277,0.319558,-0.06996
0.11413,-0.06515,-0.02034
-0.08773,0.058828,0.064807
-0.06078,0.134789,-0.13496
0.216098,-0.19615,-0.51133
-0.56945,0.420745,0.462717
-0.05151,-0.14992,-0.14785
0.10343,0.10995,-0.18886
-0.0665,0.241809,0.407771
-0.04478,-0.03953,-0.01998
0.103898,-0.16818,0.041282
-0.09015,-0.17268,0.122543
0.075951,-0.0693,-0.09066
0.165147,0.119423,-0.35531
-0.13362,0.181112,0.029481
-0.15978,0.144481,-0.27755
0.082367,0.020537,-0.21389
-0.09183,-0.26564,-0.04351
-0.38285,0.173,-0.05142
0.274683,0.003181,-0.26803
-0.03682,0.08946,-0.00821
-0.15969,0.114943,0.26253
0.016892,-0.10785,0.040479
0.266458,-0.14251,-0.69725
-0.58966,0.349913,0.565988
0.089645,0.007842,-0.50202
0.031702,-0.01607,0.059636
-0.21858,0.118895,0.472782
-0.04235,-0.07054,-0.2737
-0.18596,-0.08802,-0.26612
0.011314,-0.28619,-0.49591
-0.09455,-0.01347,-0.21102
-0.17246,0.134448,0.135704
-0.28578,-0.03957,0.75904
-0.06524,-0.09878,-0.16791
0.000519,-0.05277,-0.2561
0.04516,0.262992,-0.10665
-0.08408,0.095416,-0.09799
0.066335,0.074266,-0.07414
-0.17308,0.167027,0.020525
0.314278,-0.27187,-0.33482
-0.10335,0.007544,0.663599
0.186319,-0.25787,-0.47875
-0.03463,0.14943,-0.04043
0.003647,0.007394,0.137787
-0.09629,0.180748,0.062506
-0.15943,-0.06355,0.101176
-0.00525,-0.10527,0.0315
0.01934,-0.15068,-0.03239
-0.23059,-0.000028,0.184296
-0.19182,0.29261,0.031441
0.253178,-0.10749,0.088068
-0.32745,0.337359,0.022028
-0.55771,0.127652,0.494231
0.33617,-0.41898,-0.33072
-0.11816,0.073351,0.23469
-0.22479,0.150323,0.259043
-0.17425,-0.2457,-0.14397
0.015657,-0.12215,0.061159
-0.20266,-0.25398,-0.04158
-0.25101,-0.08035,0.418952
-0.43382,-0.30986,-0.00284
-0.2636,-0.03275,-0.02972
-0.0069,0.168144,0.435031
-0.15565,0.024647,-0.24055
-0.16728,0.164524,0.113487
-0.42906,0.407658,0.613717
0.025115,-0.14586,0.043209
0.315062,-0.07269,-0.3439
-0.18144,-0.13134,0.052761
-0.08571,-0.05115,0.452087
-0.42687,-0.19405,0.800252
-0.12055,-0.05379,0.023623
0.050309,-0.76631,0.057582
0.211905,-0.26319,-0.34394
0.08478,-0.00296,-0.36377
-0.0375,-0.2691,-0.10459
-0.48208,0.168066,0.34405
-0.3951,0.040339,0.303875
0.170471,-0.16337,-0.51665
-0.0009,-0.00011,-0.28729
-0.13824,-0.06173,-0.16399
0.168507,0.028287,-0.47961
-0.09744,-0.00805,0.154647
-0.43606,-0.13317,0.246
-0.21847,0.155688,0.335834
0.186792,-0.02203,-0.25416
0.021176,-0.24691,-0.23209
0.266204,-0.23215,-0.05519
0.054111,-0.25126,0.180934
-0.30245,0.220648,0.408584
0.037572,0.205129,0.150064
-0.17321,-0.30204,0.051346
0.329815,-0.38487,-0.40413
0.014692,-0.05546,-0.23098
-0.28051,-0.01748,0.293407
-0.07861,-0.04166,-0.05871
-0.00908,-0.2925,0.028037
0.20272,-0.44481,-0.09832
-0.1806,-0.04718,0.045705
-0.34172,-0.04293,0.226859
0.261962,-0.10637,-0.15298
-0.00166,-0.24695,-0.33592
0.113941,0.065456,-0.26318
-0.3371,0.082468,0.110536
-0.09384,-0.28467,0.159372
0.162836,-0.16191,-0.47057
-0.07626,-0.11862,-0.29988
-0.16329,0.143345,0.181917
-0.20834,-0.15764,0.146705
-0.15295,0.026702,0.031551
-0.07138,-0.12304,-0.16037
-0.10942,-0.05702,0.352124
-0.1382,-0.11414,0.098266
-0.06814,-0.05181,0.147403
-0.12777,0.043834,-0.08356
-0.22608,0.096254,0.227516
-0.1211,0.071679,0.248701
0.143128,-0.26832,-0.36363
-0.01249,-0.14474,-0.36525
0.067476,-0.01174,-0.47221
-0.00989,-0.20392,0.225231
0.044848,-0.26479,-0.40959
-0.01052,-0.32024,-0.15388
-0.11789,-0.05804,-0.3669
-0.13819,-0.16638,-0.01284
-0.08484,-0.19926,0.315351
0.040211,0.023416,-0.35313
-0.33976,0.177736,0.17806
0.075147,0.138871,-0.05269
0.039285,-0.33834,-0.22643
0.152145,-0.08901,-0.23773
0.115177,-0.20976,-0.33652
0.093789,-0.1734,0.133739
-0.00554,0.169009,0.10633
0.193853,-0.24791,-0.27771
-0.00859,0.111428,0.309081
-0.14104,-0.04102,0.006775
-0.0016,-0.02998,-0.17416
-0.01341,-0.28761,-0.03675
0.024026,-0.06293,-0.25298
-0.02235,0.122369,0.052691
-0.05389,0.099625,-0.08411
0.338875,-0.27387,-0.15948
-0.23806,0.11152,0.406972
0.046915,0.058436,-0.19238
-0.31489,0.465018,0.354951
0.115311,-0.37778,-0.38221
-0.38913,-0.14041,0.390622
-0.17027,0.102906,0.141485
-0.11356,-0.13135,0.494481
-0.0732,0.091109,-0.23724
-0.11842,-0.20337,0.037191
-0.16983,0.01918,0.413123
-0.20624,-0.06343,0.08091
-0.01422,-0.03214,-0.17474
-0.14921,0.047817,-0.04242
-0.17939,0.044756,-0.12721
-0.30239,-0.00536,0.257581
-0.20384,0.021438,0.261887
-0.24676,0.088075,-0.10566
-0.01471,-0.07174,-0.18105
0.127268,-0.17036,-0.28443
0.47956,-0.33813,-0.66459
-0.10927,0.065238,-0.16051
-0.49264,0.13932,0.616273
-0.09586,0.014363,0.056955
-0.10288,-0.01341,-0.42482
0.023091,-0.31085,-0.277
-0.11078,0.004463,0.183026
0.000642,-0.03187,-0.15025
0.131754,0.090827,-0.2212
0.141449,-0.37656,-0.32747
-0.27363,0.053804,-0.07664
-0.08965,-0.34463,-0.30853
-0.04495,0.177677,-0.16692
0.273634,-0.03858,-0.2913
0.213604,0.067229,-0.52084
-0.12917,-0.00617,0.449432
0.105997,0.043103,-0.52595
-0.20809,0.034629,0.054715
-0.01238,-0.24553,-0.1462
0.019759,-0.15835,0.3197
-0.21728,0.036755,-0.11841
-0.17342,-0.01737,0.028984
0.214948,-0.08525,0.078902
-0.44286,-0.03355,0.390601
-0.00382,0.081655,-0.13054
-0.22825,0.09768,-0.06526
-0.01375,-0.14069,-0.20005
0.260742,-0.25402,-0.27172
-0.47892,0.167107,0.762818
-0.28249,-0.10235,-0.36016
-0.22377,0.095752,0.016
-0.0893,-0.02368,0.073001
0.180301,-0.19001,-0.37067
-0.09448,-0.21159,-0.23863
-0.1406,0.246726,-0.09466
-0.1656,0.016931,-0.12804
0.311753,-0.0673,-0.33307
0.365064,-0.11421,-0.62398
-0.11548,0.037534,0.056552
-0.10571,-0.13254,-0.00228
-0.02601,0.595931,-0.15726
-0.52561,0.163516,0.013414
-0.01905,0.073999,-0.21019
0.188311,-0.19145,-0.3515
-0.44197,-0.10718,0.323256
-0.08948,-0.30165,-0.10606
0.249578,0.020926,-0.46139
-0.24914,-0.1265,0.364559
0.041468,-0.02439,-0.34439
-0.02992,-0.07882,0.242681
-0.12804,0.210477,0.159437
-0.02869,0.317814,-0.34945
0.029548,-0.06316,-0.01423
-0.11684,-0.06775,0.022469
-0.29149,0.195677,0.141135
0.153804,-0.11479,-0.02272
-0.56885,0.014638,0.693274
-0.02196,-0.02205,-0.16537
-0.00395,0.187002,-0.07309
0.008727,-0.0811,-0.24321
0.006494,0.123468,-0.11261
0.007056,0.005835,-0.35614
-0.37728,0.093064,0.043883
-0.16483,0.163453,0.256426
-0.19358,0.033179,0.191288
-0.27814,0.261747,0.065484
-0.38814,-0.02333,0.29351
-0.06459,-0.23577,0.007287
-0.14385,0.415095,-0.01536
0.071462,-0.24702,-0.24904
-0.08681,-0.24217,-0.33801
-0.2229,-0.00815,0.199264
-0.25631,0.020776,0.115593
-0.12145,0.05888,-0.03547
0.004606,0.031268,-0.02839
-0.09466,-0.05347,-0.2761
-0.27164,0.311773,0.308227
0.052585,-0.07012,0.071902
-0.0256,-0.18876,0.08873
-0.03001,0.004126,0.096059
-0.04884,-0.17198,0.001034
0.413587,-0.07343,-0.60284
0.122639,-0.09381,-0.59904
1.023845,-0.69962,-1.35058
0.001766,0.013112,-0.02243
-0.21923,-0.16893,0.418689
-0.12358,-0.01573,-0.10678
-0.30865,-0.1159,0.35931
-0.29534,-0.16694,0.209763
-0.14058,0.111745,0.028369
-0.08333,-0.24165,-0.16574
0.073267,-0.10933,-0.38419
0.128104,0.097463,-0.44796
0.1014,-0.00362,-0.16732
-0.01546,-0.28859,-0.32067
-0.11363,0.077711,0.151909
0.406519,-0.31302,-0.50782
-0.06286,-0.05991,-0.04048
-0.21873,-0.02086,-0.07937
-0.10355,-0.26119,-0.05283
-0.03302,-0.11123,0.123355
0.293069,-0.05305,-0.47463
0.002274,-0.0709,-0.06484
-0.05144,0.130353,0.106973
-0.38663,-0.07392,0.442185
-0.00156,-0.22754,-0.0955
-0.13483,0.017856,-0.38317
-0.43418,-0.17531,0.274502
0.24149,-0.14854,-0.43997
0.347018,0.043289,-0.36851
0.273876,-0.21179,-0.55638
0.053008,-0.11204,-0.24205
-0.34307,0.154711,0.106488
-0.26268,0.137958,0.264066
0.047018,0.055387,-0.15794
0.061462,-0.04057,-0.22603
0.746432,-0.37152,-0.74533
-0.1762,0.14415,-0.08468
-0.1443,-0.06349,0.088632
-0.06287,0.018748,0.12299
-0.03676,-0.33776,0.134195
-0.10838,0.019026,-0.18676
-0.19702,0.091032,-0.23811
-0.38089,-0.11998,0.263435
-0.06396,0.096515,-0.06671
0.08878,-0.01622,-0.31655
0.101733,-0.19118,-0.17334
0.045052,0.134271,0.078301
-0.10745,0.235115,-0.12628
0.45477,-0.04953,-0.79519
-0.07459,0.060457,0.039942
0.010523,-0.15036,-0.2175
-0.03409,0.148895,0.194761
-0.20231,-0.02235,-0.02941
-0.4296,0.051925,0.670864
-0.0714,0.044598,-0.32959
0.381526,0.055085,-0.15894
-0.27747,0.066141,0.213048
0.156778,-0.22132,-0.41652
0.326038,-0.2995,-0.04754
0.115081,-0.09064,-0.04415
0.069877,0.230865,-0.42328
-0.17751,0.118583,-0.12855
0.308288,0.252418,-0.47269
0.140315,-0.20868,-0.03091
-0.12558,0.240972,0.022867
-0.15289,-0.10603,-0.12807
0.138027,-0.08247,-0.03698
0.002495,-0.17388,0.069836
0.010205,0.041277,0.005272
0.010312,-0.06598,-0.32911
-0.0624,-0.0271,0.013393
-0.17924,0.356346,0.100859
-0.1046,0.009148,0.01864
-0.22752,-0.01545,0.368124
-0.07348,-0.20118,0.025606
-0.06969,0.041764,0.019567
-0.22652,-0.26475,0.250423
-0.18937,-0.00581,-0.05331
-0.04928,0.172632,0.142224
-0.17461,-0.08624,-0.16112
-0.30196,-0.17006,0.136775
-0.3842,-0.23713,0.350591
0.111974,0.041896,-0.18367
0.075773,0.041589,-0.01937
-0.33727,0.327571,-0.05448
-0.28016,0.110827,0.104996
0.269543,0.206333,0.030041
0.103048,-0.09094,-0.16732
0.082396,-0.31412,-0.51842
0.076571,-0.26147,-0.06386
-0.23125,0.004686,0.32453
-0.01456,-0.00927,-0.42645
0.05235,-0.00932,-0.36492
0.050285,0.029823,0.01988
-0.4464,0.281231,0.274736
0.131348,0.075776,-0.29521
-0.27161,0.285483,0.588469
0.138863,-0.05767,0.216437
0.037239,-0.0495,-0.12704
0.083215,-0.14935,-0.25413
-0.21701,0.431511,0.354448
-0.02438,-0.18402,-0.05917
-0.23115,0.179986,0.501649
0.929745,-0.8946,-0.9618
-0.09822,-0.0079,-0.0259
0.105728,-0.27544,-0.03945
-0.11352,0.264744,-0.06903
-0.35552,-0.07527,0.256367
0.224334,0.200459,-0.17262
-0.46096,0.403431,0.443632
0.064466,-0.21482,-0.50418
0.096716,-0.12952,-0.15194
-0.06891,-0.08355,-0.16092
0.213797,0.055303,-0.4449
-0.15712,-0.19326,0.008888
0.052637,-0.0916,0.058295
-0.38757,0.176062,0.209559
0.250514,-0.12765,-0.18369
-0.25427,0.058223,0.038116
0.115739,-0.10129,0.278358
-0.29681,0.171871,0.234862
0.015936,0.059773,0.163387
0.185053,-0.09327,0.144877
-0.04077,0.025178,0.178109
0.017063,-0.07678,-0.15701
-0.02134,0.252709,0.04733
-0.26993,-0.00034,0.160677
0.093629,-0.09172,-0.4298
-0.05679,-0.01169,-0.04819
0.215785,0.064501,-0.20588
-0.02168,0.026066,0.071905
-0.0434,-0.1783,-0.0524
-0.33611,-0.10791,0.339935
-0.11207,-0.19903,-0.16835
0.183168,0.006659,-0.09185
0.079062,0.037476,-0.36914
-0.00308,-0.19056,-0.35349
0.088134,-0.34889,0.359995
0.098826,-0.12431,-0.17334
-0.27488,-0.28216,0.435796
0.224154,0.04576,-0.11251
-0.12049,0.211803,-0.01394
0.172191,-0.04677,-0.25682
0.558213,-0.59199,-0.62993
-0.00104,-0.0817,0.028028
-0.35198,0.217717,0.212841
0.333706,-0.28074,0.084042
0.207059,-0.10729,-0.34678
0.05626,-0.1354,0.190412
0.148041,-0.0348,-0.26879
-0.09193,-0.0027,0.323734
-0.25511,0.187508,0.368008
-0.06825,-0.26438,-0.04214
-0.2603,-0.0626,0.517285
0.027163,0.338112,-0.02548
-0.19478,0.066098,0.121379
0.021817,-0.03747,-0.27645
0.178145,-0.29726,-0.00851
-0.03028,-0.07102,0.301183
0.023181,-0.17726,-0.06769
-0.1391,0.01242,0.124305
-0.0815,-0.08275,0.193358
0.122503,-0.10139,-0.35407
-0.32457,0.120135,0.065926
0.069929,-0.02942,0.216169
0.137418,0.058234,-0.50886
-0.07177,-0.07656,-0.06682
-0.41266,0.0203,0.29052
0.085105,-0.05707,-0.05654
-0.06456,-0.0974,-0.30542
-0.41845,0.088479,0.274994
-0.34018,-0.05122,0.488739
-0.04191,0.132243,0.008225
0.07811,-0.21871,-0.11073
0.144022,-0.01602,-0.28836
-0.30315,0.031829,0.258395
0.127014,-0.19231,-0.42819
-0.21439,0.123168,0.055607
-0.14855,0.120863,-0.33143
0.002462,-0.19911,0.015256
0.011072,0.092084,0.068875
0.130104,-0.03573,-0.37257
0.09456,-0.01392,0.082465
-0.3769,-0.05552,0.615605
0.294474,-0.06697,-0.35824
-0.20382,-0.29235,0.276387
0.535688,-0.34124,-0.47241
-0.01228,0.285844,0.122351
0.153227,-0.15475,-0.08452
0.018081,-0.05795,0.021725
0.025427,-0.15749,0.081362
-0.15248,0.020584,-0.05763
-0.4878,0.268608,0.009773
-0.63906,0.338055,0.512498
-0.14901,0.150437,0.189531
-0.08439,0.038091,-0.18432
0.127595,0.238049,0.019874
-0.33013,0.056491,0.354483
-0.30167,-0.32385,0.123255
0.679062,-0.22563,-0.76263
0.412744,-0.31531,-0.66163
-0.09565,-0.04193,-0.00149
-0.16951,-0.20019,-0.16597
-0.13099,0.128649,-0.10876
-0.01431,-0.24946,-0.21662
-0.03686,0.005204,-0.07019
0.289407,0.00905,-0.3451
0.080444,-0.01981,-0.00775
0.079932,-0.21588,0.480842
-0.10222,0.046692,0.251227
-0.15798,-0.03392,0.352661
0.031287,-0.22518,0.165075
-0.07566,-0.03655,-0.05087
-0.23344,0.218778,0.599088
-0.06133,-0.06322,-0.10838
0.048155,-0.02221,-0.22515
-0.25986,0.082282,-0.48382
-0.16569,0.165186,0.029188
-0.07193,-0.12204,-0.05224
0.16875,-0.22445,0.454323
-0.32406,0.358221,0.478779
0.063746,-0.03494,-0.4704
-0.23375,-0.17502,-0.06778
-0.08294,0.017638,0.146345
-0.36771,0.139608,0.773141
-0.08166,-0.10089,0.048518
-0.11194,-0.01318,0.410401
-0.14706,-0.18097,0.095562
-0.10123,-0.10084,-0.31382
0.00699,0.288556,-0.03355
0.096499,-0.14358,-0.09573
-0.42907,-0.16148,0.170938
-0.18709,0.047373,-0.11056
-0.46911,0.12389,0.304044
0.093322,-0.03171,-0.14494
-0.34747,0.414292,0.031734
0.144538,0.098751,0.221105
0.137518,-0.30286,-0.49193
-0.23078,-0.05335,0.326661
0.123646,-0.2516,-0.18281
-0.04589,-0.07387,-0.09825
-0.31502,0.009876,0.258898
-0.16205,-0.12583,0.201291
-0.34304,-0.02584,0.04417
0.173824,-0.07467,-0.18485
0.008979,-0.16402,-0.07467
0.017199,-0.16531,0.185594
0.576786,-0.34995,-0.50713
0.210132,-0.52271,0.026812
-0.20362,0.323145,0.331791
0.135085,-0.24186,-0.41918
-0.12689,0.004748,0.059742
-0.02413,0.007486,0.048016
-0.14445,-0.06879,0.049322
-0.19876,0.079462,-0.20913
-0.00494,-0.09918,0.298573
-0.05918,-0.4606,0.25551
-0.49197,0.172625,0.527847
0.094435,-0.13872,-0.32967
-0.17227,-0.08543,0.289736
0.420445,-0.10018,-0.57232
0.214787,-0.01261,-0.35904
-0.58587,0.076175,0.579874
-0.21827,-0.08811,-0.24228
-0.00545,-0.1134,0.070597
0.121881,-0.1232,-0.11998
0.049935,-0.33813,-0.56629
-0.10237,0.164872,-0.06282
-0.0498,-0.13542,0.082661
-0.41054,0.083813,0.13664
0.047574,-0.00705,-0.26194
0.212482,-0.20509,-0.13153
-0.0247,0.010998,-0.14409
-0.21272,0.246534,-0.13911
0.228121,-0.13646,-0.39678
-0.00738,0.268752,-0.08103
-0.00951,0.071767,0.164897
-0.04003,-0.0961,-0.22715
-0.24962,0.274198,0.156314
-0.31612,0.050543,0.399578
-0.1493,-0.18677,0.140031
-0.2338,-0.18322,0.048902
-0.22689,-0.07063,0.206583
0.187933,-0.02441,-0.41178
0.098721,-0.40394,-0.18873
0.082523,-0.2112,-0.01024
-0.33475,0.021796,0.497123
-0.27197,0.135213,0.421215
0.395125,-0.12798,-0.55915
-0.07893,-0.23565,0.19991
-0.24679,-0.05931,0.255459
0.338899,-0.37527,-0.48958
-0.20439,0.060246,-0.03678
-0.0512,-0.22692,0.012482
-0.45291,0.138761,0.705743
-0.3274,0.104414,-0.24268
-0.22132,0.066564,0.296534
-0.09427,0.231863,0.062291
0.493414,-0.31539,-0.67882
-0.34893,0.009954,0.192442
-0.38252,0.108613,0.192008
-0.24406,0.209412,-0.07358
-0.05838,0.166272,-0.39818
0.345706,-0.22207,-0.40324
0.014688,-0.27557,0.55849
0.115594,0.002386,-0.37793
0.316096,-0.01961,-0.23133
-0.07165,-0.02418,0.049238
-0.11358,0.105309,-0.31202
0.245942,-0.08297,0.033292
-0.02989,-0.17709,-0.18104
-0.01862,-0.10987,-0.21963
-0.2938,0.003879,-0.03418
-0.022,0.474071,0.043259
0.0253,-0.22633,-0.22704
0.382179,0.06595,-0.48412
-0.08717,-0.09011,0.237735
-0.17793,-0.07373,-0.14851
0.09189,-0.1382,-0.10559
-0.05032,-0.0049,0.199422
-0.00858,-0.07592,0.253034
0.180438,0.066923,-0.24706
-0.32722,0.172616,0.253202
-0.09735,-0.09758,-0.04671
-0.46184,0.249975,0.433909
-0.27419,0.520689,0.154906
-0.21028,-0.07294,0.301462
-0.33857,0.39226,0.366697
-0.03397,-0.18618,-0.16872
0.066331,-0.24789,-0.1282
0.231119,-0.34857,-0.32482
0.023499,0.091604,-0.2812
-0.19355,0.570131,0.245902
-0.06917,-0.15076,-0.00238
0.248595,-0.17632,-0.68683
0.501755,-0.34127,-0.57097
-0.22751,-0.21894,-0.08844
0.102004,0.113339,-0.34329
-0.34625,0.040938,0.387329
-0.17669,-0.11405,0.245282
-0.14314,-0.07091,-0.17674
-0.10733,0.022421,-0.02683
0.093936,-0.00224,0.023967
0.112662,0.077552,-0.05057
-0.17428,0.203352,-0.08937
-0.14289,0.412863,0.474233
0.420083,-0.29117,-0.36102
0.120145,0.145519,-0.61632
-0.41876,-0.01309,0.337436
-0.43563,0.043169,0.053502
-0.20998,0.26911,0.536372
0.03884,-0.0358,0.239174
-0.13491,0.084398,-0.12686
-0.11494,0.043203,0.042565
0.266742,-0.33237,-0.30812
-0.11956,0.032453,0.068595
-0.2876,-0.19719,0.288703
0.314263,-0.60434,-0.21672
-0.1562,0.146276,0.000195
-0.03049,-0.13314,-0.15037
0.21746,-0.03806,-0.36559
-0.14465,0.031187,-0.11364
0.824333,-0.40615,-1.19375
0.048938,-0.12184,-0.13155
-0.04156,0.085965,-0.29913
-0.17211,-0.08258,0.13676
-0.2791,0.149811,0.352033
-0.4825,-0.02728,0.713867
-0.19059,-0.02508,-0.07108
-0.09088,-0.0688,-0.0031
0.118946,-0.01619,-0.00306
-0.28286,0.095539,0.042741
-0.27785,0.18643,0.068243
0.10226,-0.17783,-0.41755
0.186002,0.227786,-0.34396
-0.21115,-0.25101,0.126842
0.042984,0.16969,-0.12516
-0.0705,0.092274,0.104031
-0.16374,0.029781,0.303807
-0.22898,-0.24464,0.209507
-0.08312,0.148661,0.04649
-0.62074,0.299203,0.660171
0.012223,0.041544,-0.21666
-0.06617,-0.23193,-0.11334
-0.10071,0.178719,0.00177
0.152092,0.003349,0.017118
0.015498,0.209759,-0.33062
-0.03877,0.044193,-0.34084
-0.05975,-0.05821,0.332368
-0.10482,-0.06471,0.015683
-0.22013,0.113676,0.125544
-0.20161,0.174263,0.595953
-0.2446,0.019936,0.011629
-0.14198,0.148309,-0.13852
-0.27178,-0.11239,0.134259
0.006395,-0.05731,-0.46036
-0.00856,-0.07554,0.027686
-0.07239,-0.16396,-0.14203
-0.16735,0.133909,0.271939
-0.20965,-0.26905,-0.2222
-0.21524,-0.00931,0.022627
-0.22141,0.183545,0.135109
0.066871,0.506307,-0.22489
-0.13715,0.20168,0.13331
-0.24624,0.041994,0.571795
0.012289,-0.09122,-0.22219
0.159944,-0.2243,-0.07812
-0.0699,-0.11258,-0.00905
0.172783,-0.05541,-0.39675
-0.2302,0.16306,0.245041
0.047553,-0.02909,-0.10544
-0.08803,-0.32701,0.008011
-0.48819,0.16997,0.656652
-0.28178,0.039294,0.195952
0.009687,-0.21238,-0.29568
-0.1119,0.065541,-0.04828
-0.41985,0.143582,0.351231
-0.47398,0.762394,0.737113
0.064011,-0.01385,-0.16335
0.144986,-0.1875,-0.17717
-0.32609,0.189145,0.126563
0.280376,-0.30155,-0.23086
0.151643,-0.04552,-0.05384
-0.23854,-0.15577,0.305747
0.717796,-0.54816,-0.92399
0.035904,-0.25009,-0.01457
0.359534,-0.1561,-0.51612
0.026423,0.003824,0.427007
-0.15178,0.105499,0.027401
0.01679,0.267106,-0.26934
-0.22795,0.093582,0.064319
0.296996,-0.02438,-0.64856
-0.07473,-0.18474,0.278158
0.565531,-0.19915,-0.55274
-0.25223,0.023461,-0.09427
-0.07149,0.024593,0.231053
-0.09398,-0.18815,0.37662
-0.14027,0.139204,0.004292
-0.26738,0.071353,0.517396
0.04224,-0.0391,-0.11166
-0.09605,-0.11488,-0.16882
0.004681,0.089634,0.319539
-0.01933,0.028353,-0.37389
0.294647,-0.14459,-0.32829
0.061885,-0.069,-0.05543
0.0000613,-0.02369,-0.47681
0.340385,-0.41181,-0.45144
0.139567,-0.12473,-0.07439
-0.05207,-0.3179,-0.28754
0.699832,-0.35859,-0.77727
-0.01048,-0.11401,-0.73645
-0.24644,0.05607,0.664624
-0.13006,0.152097,0.009785
-0.02406,-0.28194,0.320545
0.369318,-0.55824,0.191388
0.128159,-0.19694,-0.38607
-0.01997,0.139939,-0.12778
-0.00864,-0.04322,-0.10761
-0.20672,-0.03402,-0.1442
-0.14798,0.102268,0.055286
-0.20902,0.118952,0.185395
-0.04246,-0.23258,-0.00828
0.239459,-0.2146,-0.1978
-0.62487,0.067845,0.915429
-0.18332,-0.08357,0.028278
-0.30015,-0.01682,0.598796
0.064987,0.05066,0.03789
-0.3038,-0.1011,0.095025
-0.47647,0.299877,0.485575
-0.13239,0.105829,-0.14407
-0.00031,-0.3462,-0.21713
0.404892,-0.11245,-0.65958
-0.0849,-0.01024,-0.37174
0.105742,-0.03304,-0.09616
0.304389,-0.32598,-0.49121
0.475873,0.073281,-0.56399
0.022444,0.092551,-0.14189
-0.21251,0.092964,0.01766
-0.30649,-0.02609,0.28629
-0.30131,-0.09987,0.2102
-0.06277,0.231978,-0.08852
0.343591,-0.23952,0.120095
0.489532,-0.60888,-0.22828
-0.29666,-0.09508,0.304689
-0.11765,0.067646,0.075223
0.304099,0.159587,-0.29199
0.140614,-0.15067,-0.15435
-0.33421,-0.40799,0.103743
-0.30139,0.168339,0.214937
0.065694,0.237616,-0.08544
0.044267,-0.33014,-0.09024
-0.33184,-0.06102,0.184926
-0.23932,-0.04318,-0.09743
-0.01211,0.10495,-0.06333
-0.28119,0.019426,0.559057
0.087701,-0.11134,-0.24755
-0.32242,0.068622,0.104297
-0.35973,0.162434,-0.03263
-0.12697,-0.05154,-0.1794
0.068213,-0.18215,0.059451
-0.02227,0.080664,-0.1129
0.098556,-0.21659,-0.15106
-0.01563,-0.11351,-0.33121
-0.06496,-0.00955,0.326403
-0.45171,0.316542,0.338638
-0.45656,0.677928,0.453419
0.155815,-0.05576,-0.35237
-0.16117,0.2777,0.201682
-0.0499,-0.02075,-0.19645
0.007829,0.01599,-0.11509
-0.40959,-0.02252,0.291188
-0.03954,-0.1703,0.033233
0.331102,-0.52205,-0.31115
-0.0017,-0.29248,-0.13198
-0.09256,-0.20516,0.045813
0.083154,0.084161,-0.10895
-0.2127,-0.07567,-0.30654
-0.1795,0.042995,-0.18938
0.053608,-0.15029,-0.1474
-0.00784,-0.0429,-0.08223
0.063567,0.079746,-0.05385
0.209917,-0.24867,-0.41403
-0.01315,-0.23373,0.047048
-0.06467,-0.05664,-0.23325
-0.20602,0.334189,-0.04329
-0.13682,-0.1456,-0.16196
-0.05977,-0.0262,-0.1997
-0.14201,0.067986,0.240002
-0.01876,0.133122,0.103304
0.468455,-0.40518,-0.56059
-0.15713,0.289028,-0.1755
-0.21044,-0.19339,0.62376
0.018743,-0.40943,-0.10511
-0.10156,-0.1408,0.15309
-0.08649,-0.18111,-0.26975
-0.28296,-0.03323,0.018319
-0.52964,0.111776,0.693111
0.513765,-0.27344,-1.05188
-0.13037,-0.08892,-0.06352
0.001414,-0.28246,0.024529
0.313352,-0.09257,-0.20015
0.04988,-0.03092,0.049884
-0.17968,0.086271,0.058756
-0.05015,-0.09824,0.283726
0.449786,-0.2044,-0.16895
-0.06175,-0.13999,0.156568
-0.06389,-0.37711,-0.16174
-0.25139,0.054833,-0.02615
-0.03252,-0.18482,-0.19357
0.067235,0.073919,-0.38457
0.006947,-0.14651,-0.13067
-0.35835,-0.09373,0.050591
0.201081,0.134581,-0.19436
0.056783,-0.13494,0.038862
-0.12751,-0.05181,-0.00237
0.334224,-0.25741,-0.17162
0.126763,-0.35932,0.108295
0.131932,-0.38846,-0.1531
-0.09845,-0.29221,0.153192
-0.07679,-0.01381,-0.07002
