CPY,JCR_IF,FCR
0.166666667,2.167,6.8897
0.166666667,2.21,4.796375
0.166666667,2.243,4.4814
0.166666667,2.279,9.788241379
0.166666667,2.279,2.151375
0.166666667,2.342,9.467254902
0.166666667,2.468,2.468
0.166666667,2.538,8.374609756
0.166666667,2.538,7.07975
0.166666667,2.637,5.798125
0.166666667,2.637,3.064333333
0.166666667,2.721,7.78284375
0.166666667,2.848,2.858545455
0.166666667,2.894,5.14811
0.166666667,2.918,6.004070175
0.166666667,3.153,3.5715
0.166666667,3.318,3.481
0.166666667,3.338,5.775103448
0.166666667,3.427,3.15475
0.166666667,3.558,3.558
0.166666667,3.633,9.67852
0.166666667,3.633,8.452962963
0.166666667,3.633,3.633
0.166666667,3.662,5.763333333
0.166666667,3.685,5.205631902
0.166666667,3.685,3.685
0.166666667,3.697,8.908181159
0.166666667,3.724,4.609933333
0.166666667,3.777,12.6854
0.166666667,3.956,3.648733333
0.166666667,4.004,5.591675785
0.166666667,4.031,3.31675
0.166666667,4.187,8.551
0.166666667,4.242,4.242
0.166666667,4.773,5.693461538
0.166666667,4.807,6.360346154
0.166666667,4.894,9.488627451
0.166666667,10.37,7.503084237
0.166666667,10.94,7.729083333
0.166666667,25.8,6.717142857
0.2,0.614,1.516
0.2,0.832,1.9175
0.2,1.047,4.436946667
0.2,1.13,2.387818182
0.2,1.176,4.569365079
0.2,1.28,1.28
0.2,1.41,1.41
0.2,1.425,7.9714
0.2,1.443,4.954736842
0.2,1.486,4.919555556
0.2,1.529,8.051769231
0.2,1.565,2.85
0.2,1.582,13.91588889
0.2,1.701,3.784
0.2,1.731,8.091947368
0.2,1.731,6.5758125
0.2,1.913,6.028892562
0.2,1.94,6.195479167
0.2,1.943,10.32194872
0.2,1.995,7.94825
0.2,2,4.6442
0.2,2.055,9.018055556
0.2,2.085,4.141409091
0.2,2.122,5.565352941
0.2,2.122,5.057153846
0.2,2.207,5.455625
0.2,2.209,2.965071429
0.2,2.253,3.650266667
0.2,2.253,3.064333333
0.2,2.254,5.120714286
0.2,2.329,6.4608
0.2,2.424,7.036545455
0.2,2.514,6.165619048
0.2,2.555,9.126418605
0.2,2.599,5.406
0.2,2.613,6.681055556
0.2,2.667,5.721666667
0.2,2.678,6.364818182
0.2,2.678,5.0665
0.2,2.678,4.048518519
0.2,2.857,2.857
0.2,3,10.15075862
0.2,3.002,3.002
0.2,3.088,2.952111111
0.2,3.368,5.498353516
0.2,3.377,4.302111111
0.2,3.398,10.40345833
0.2,3.508,5.610756757
0.2,3.561,6.791534483
0.2,3.677,6.910863636
0.2,3.742,16.81230769
0.2,3.765,6.261875
0.2,4.123,4.439727273
0.2,4.214,7.449958333
0.2,4.23,8.399952381
0.2,4.23,8.386685185
0.2,4.39,5.367105263
0.2,4.472,7.948727273
0.2,4.473,4.473
0.2,4.627,5.846972222
0.2,4.662,4.662
0.2,4.802,4.802
0.2,5.039,5.3905
0.2,5.287,4.343979167
0.2,5.332,4.9108
0.2,5.332,4.379
0.2,5.402,5.402
0.2,5.535,4.154090909
0.2,6.014,4.407333333
0.2,6.44,18.04817857
0.2,7.221,6.649610274
0.2,7.672,13.28426531
0.2,12.755,9.293466667
0.2,26.372,10.41781818
0.222222222,0.406,0.406
0.222222222,0.569,4.694597802
0.222222222,0.724,8.856574713
0.222222222,0.833,11.99709091
0.222222222,1.134,8.114125
0.222222222,1.222,3.386
0.222222222,1.223,9.1546
0.222222222,1.373,5.811
0.222222222,1.42,4.068272727
0.222222222,1.472,3.664583333
0.222222222,1.511,9.5768
0.222222222,1.513,6.767625
0.222222222,1.533,1.601
0.222222222,1.542,1.542
0.222222222,1.576,2.215380952
0.222222222,1.602,3.182916667
0.222222222,1.618,6.944025
0.222222222,1.712,6.082310345
0.222222222,1.777,3.3955
0.222222222,1.881,4.567333333
0.222222222,1.942,7.817352941
0.222222222,1.958,2.72325
0.222222222,1.967,6.249
0.222222222,1.967,5.530516129
0.222222222,2,8.941714286
0.222222222,2.128,10.7839
0.222222222,2.128,3.825882353
0.222222222,2.183,5.778456522
0.222222222,2.203,4.657584416
0.222222222,2.208,7.100444444
0.222222222,2.208,1.9505
0.222222222,2.302,5.069475
0.222222222,2.305,6.945176471
0.222222222,2.383,17.56442857
0.222222222,2.474,5.903636364
0.222222222,2.624,5.357071429
0.222222222,2.664,3.810923077
0.222222222,2.836,6.870095238
0.222222222,2.849,8.682189189
0.222222222,2.93,2.93
0.222222222,3.277,8.302823529
0.222222222,3.408,3.408
0.222222222,3.828,4.027708333
0.222222222,3.922,4.806209302
0.222222222,5.225,5.6778
0.222222222,6.192,4.180230769
0.222222222,6.701,15.34075
0.222222222,7.454,10.88305882
0.222222222,8.649,14.38616667
0.222222222,10.272,7.385186047
0.25,0.321,8.733184211
0.25,0.519,4.304717949
0.25,0.585,8.487405405
0.25,0.609,2.835193548
0.25,0.774,0.774
0.25,0.815,5.851882353
0.25,0.815,2.855333333
0.25,1.068,4.927065217
0.25,1.111,4.30005
0.25,1.112,6.974916667
0.25,1.112,4.168
0.25,1.154,6.002117647
0.25,1.207,8.534263736
0.25,1.318,5.340907407
0.25,1.37,2.642529412
0.25,1.39,4.133777215
0.25,1.392,10.92012987
0.25,1.392,9.768647059
0.25,1.392,9.380516129
0.25,1.392,6.383758974
0.25,1.392,6.264671569
0.25,1.426,1.426
0.25,1.431,3.215971429
0.25,1.431,3.044
0.25,1.482,7.448277778
0.25,1.552,7.316
0.25,1.621,4.124372222
0.25,1.653,7.811708333
0.25,1.69,3.628833333
0.25,1.727,6.468868132
0.25,1.737,3.018517241
0.25,1.751,1.751
0.25,1.789,9.184636364
0.25,1.812,2.88
0.25,1.815,3.9515
0.25,1.829,8.6992
0.25,1.83,5.920458333
0.25,1.857,2.493705882
0.25,1.891,4.417275
0.25,1.904,5.957742857
0.25,1.904,4.485777778
0.25,1.904,1.904
0.25,1.914,2.36735
0.25,1.935,5.745
0.25,1.935,1.935
0.25,1.991,3.780604651
0.25,2,8.574897436
