RCR,F1000Total
0.829934082,2
1.341737681,2
0.802294254,1
0.727006046,3
0.898812095,1
3.216712229,2
6.811021621,8
2.681969373,3
1.099656124,2
1.485220301,15
6.402434929,3
1.137312333,2
1.413008362,2
5.020600066,6
1.866148118,2
2.994910767,2
2.259296732,5
2.240416314,5
5.331058099,1
2.232241429,3
6.052770401,1
0.141479348,1
1.852005115,1
0.76693754,1
0.410496393,1
0.499659564,3
0.06419735,1
0.541898177,4
0.574001077,1
0.905942487,2
6.498523661,2
2.01718189,1
3.27395284,4
0.936510146,4
1.322304549,2
2.0808748,1
1.164869004,3
1.571226804,2
1.116275096,1
2.708444334,1
1.433442989,4
5.889554524,6
13.94823476,8
1.952296745,1
5.429809432,4
1.20480831,1
0.981761368,2
2.225505505,4
1.153485502,1
1.668245471,1
6.930505136,4
0.317767046,2
1.124791365,1
1.141476939,1
6.200247924,4
2.2856565,5
4.608162921,4
1.259401288,2
1.450838797,1
0.900877538,1
0.388705712,1
0.183268444,1
1.329846189,1
10.46896993,8
0.530026604,1
1.876887497,2
0.494794866,1
0,2
1.533836909,3
6.458962657,3
1.692656471,3
4.405421708,3
1.021274621,1
4.123222185,1
0.602094367,1
2.089682363,1
1.090745477,6
0.663371437,1
1.057608394,1
2.921564443,2
3.742003931,1
1.208829113,2
0.679371843,1
1.714278677,1
0.101501284,1
2.018996015,2
1.295938117,1
1.336054683,1
1.198103093,2
0.765475621,1
1.638716535,4
1.433542081,2
3.686742731,2
1.840896559,5
8.940925891,4
1.819794069,5
4.567253419,3
0.582780315,1
1.999819861,2
1.048692229,2
0.859932977,1
1.250311515,1
1.032612055,2
0.361337614,1
0.814576174,2
2.805061637,2
2.461990262,1
0.265715614,1
0.73948167,1
0.831960067,1
2.443021923,4
0.328883258,1
0.363570212,1
0.812031945,1
1.593874372,1
0.501370012,2
1.316120977,2
0.298021621,1
2.325596362,1
0.831090232,1
2.577242529,2
0.4743856,1
1.187182622,1
5.484929337,1
0.924890391,1
1.499610969,1
6.565926477,6
1.453097951,1
4.672092427,2
11.60477857,4
1.732811282,2
1.262203389,1
6.522763076,6
1.726046318,1
1.44732207,1
0.130448429,2
2.602593297,3
1.912998879,1
1.304576209,1
3.989921447,1
1.289869519,1
2.034596509,5
8.452952463,13
0,2
1.445106129,1
0.399307282,1
0.634204613,1
2.411738116,2
3.127583772,3
2.698088434,1
0.708966956,3
15.33577724,7
1.501433316,1
0.707063853,3
0.883533891,1
0.841092749,1
4.017114726,1
0.882690323,1
0.062172033,1
0.622633577,2
7.579498942,13
1.33733375,3
0.308657521,2
0.74298881,1
1.274957581,4
1.774608461,1
0.855303632,2
1.441749815,1
1.129806555,2
0.861547927,1
2.203295226,1
0.828138941,2
0.633193244,1
0,1
0.623747446,2
2.773123287,3
1.2619633,2
2.403848155,1
1.638794257,2
2.630841195,1
1.682754965,2
0.474616017,2
4.521011247,1
1.660264021,1
0.443399785,3
1.081323888,2
0.490092488,1
2.452243646,1
3.793603075,6
1.66667891,1
0.663715091,2
2.44061217,7
0.177121633,1
1.621677953,2
7.83696088,2
1.503833035,1
4.100367081,1
0.377516143,1
2.791529113,3
1.693489802,2
1.474927492,2
3.811907082,1
0.586290739,1
1.955449683,3
5.633627048,2
0.928637073,1
1.328398746,1
6.090804183,4
1.545364862,1
0.550009198,1
0.186178581,2
0.469960714,1
1.187562063,2
1.856180371,1
3.425730579,2
11.15501735,2
1.331973139,1
1.671934139,2
4.740035859,5
1.188506767,2
2.926187293,2
1.04051567,2
0.194918698,1
3.880633769,5
1.288036874,2
1.992819241,1
0.325372078,1
2.545622191,4
1.370741213,2
0.501529183,2
1.677927958,2
0.270907175,1
1.068370639,3
3.713034123,2
0.966797129,2
0.76587247,1
1.309330565,1
0.580744595,2
2.307115812,2
1.630137824,2
3.396459149,2
13.77707872,17
0.189149948,1
1.067882129,1
5.325797284,6
2.62919539,1
4.382332752,1
2.361565133,2
1.397721303,1
1.299235758,3
2.149875121,1
2.649594262,2
2.863284217,2
0.193565061,1
2.392396135,1
1.298728699,1
1.641948224,1
1.670307638,1
17.66804257,5
2.373280197,1
0.705545456,1
0.960572869,1
0.560826738,5
2.090018472,3
0.912049707,2
1.771454982,1
1.952668914,2
3.801006884,11
3.846851615,1
2.763586517,2
0.766870117,3
0.84101883,2
0.608104065,1
3.98211206,3
1.040249881,3
1.108184563,1
2.654042287,3
0.347631236,1
4.56820143,1
0.568528149,1
0.325516924,1
1.007875345,2
1.409006785,2
2.90995256,3
1.475381165,1
0.502084897,2
2.212224399,1
0.293028754,2
2.2362944,3
0.367168763,2
1.485251674,5
2.464255053,1
3.358725372,1
1.210637717,2
2.461102767,1
1.931270462,2
11.03293054,6
1.497300648,1
0.991058446,2
2.329391814,2
1.544375292,2
1.146266938,1
3.023939247,1
0.609261833,2
0.568137212,1
0.576900944,3
1.472104726,1
1.428766673,3
1.110924846,4
0.511495576,1
0.441621485,1
1.942813614,3
1.029977393,1
0.928139558,4
1.168743716,1
1.060192669,1
0.178672971,1
1.06100145,2
0.457980942,4
1.317645818,1
4.823947287,1
1.022226821,2
1.924919623,1
0.743872001,1
0.268431301,1
4.464886412,4
1.988350764,1
0.462028589,2
0.256259199,1
1.717985765,1
0.367671266,1
1.600629129,2
3.696251753,3
2.970876296,1
1.554875629,2
1.342601176,2
0.343822331,2
0.609428981,1
1.314554363,2
1.173658122,6
4.909161652,3
1.679625972,4
13.68068478,10
0.805507188,1
0.897909379,1
0,2
0.907948094,2
2.0588423,2
4.625368605,4
3.077670936,1
4.807148583,12
0.784519554,3
1.262301897,2
0.39317118,1
1.948797141,4
1.468252234,2
1.010407946,4
3.27058628,3
3.063633286,2
1.758089705,4
1.384775763,1
1.871261281,1
1.350016547,2
0.322246846,2
0.999808837,1
1.2284244,2
1.362078062,1
1.169479702,1
1.178694213,4
1.587464908,1
1.481852011,1
2.610594937,2
0.554821496,1
0.509580918,1
0,1
3.508253027,2
0.662449037,1
2.054242506,3
1.332211677,2
1.054755982,1
1.724188794,5
4.468629463,4
1.396063313,2
1.4344195,1
1.527630679,2
0.831205739,2
1.394873637,2
0.166537753,1
2.189091601,1
1.787388762,2
3.197312673,1
2.652011731,2
0.499829153,3
1.840522986,1
0.200833395,1
2.74912253,3
0.165656752,1
0.998713078,3
