LogOfMeanRCR03-06,LogOfMeanRCR07-10
-0.084700691,0.059206987
-0.366284519,-0.211808841
-0.23365091,0.332808032
0.723714744,0.420813786
-0.301390658,-0.133052087
-0.110986115,-0.10673325
-0.002940699,0.0447833
-0.187090235,-0.139717313
0.004609233,0.176904817
0.324619927,0.096684607
0.182010738,0.159324801
0.140894932,0.0394266
0.345706044,0.123635487
0.128008451,-0.150046841
0.084068654,0.049515442
-0.001658504,-0.248610461
-0.076604867,-0.205886856
-0.11978075,-0.144334001
-0.145708447,-0.096928379
-0.22508866,-0.134155646
-0.150491199,0.140790325
-0.02711952,0.104585428
0.089376634,-0.044767746
-0.149906554,0.055606243
-0.157134281,0.131893547
0.000687793,-0.022361295
-0.147055475,-0.328021299
-0.364674485,0.394344419
-0.500479188,-0.428279333
-0.16058956,-0.297654831
0.266203735,0.034057524
-0.014310391,-0.26376881
-0.055041695,0.173004715
-0.069898544,-0.182477192
0.046643071,0.127596673
-0.212678118,-0.155659862
-0.40042076,-0.132757496
-0.154307683,0.039568871
0.102003828,0.21534239
-0.199037541,-0.216286049
-0.281192421,-0.261766824
-0.06008795,-0.224584537
0.72324903,-0.456556497
0.242703811,-0.092623306
0.396562017,0.217723675
-0.092558802,-0.297716234
0.25378134,0.199584091
-0.194689661,-0.13597356
0.316692165,0.022458684
-0.143799698,-0.160730969
-0.20833511,-0.365977413
-0.306138536,-0.274313666
-0.103708875,-0.086372033
-0.488186291,-0.318215973
0.01485964,0.053651335
-0.008583607,-0.084507003
0.318669107,-0.020539237
0.171166588,0.001107081
-0.066498866,0.175310392
-0.030490713,-0.163627466
0.178325757,-0.001125769
0.096387255,0.112277869
-0.15941291,-0.36080685
-0.35834649,-0.452073627
-0.274875766,-0.557037815
0.054786708,0.030340791
0.061670989,-0.035692592
0.201080634,0.335661779
0.024680456,-0.168789123
-0.227748942,0.231807696
0.111418625,-0.144056253
0.338899038,-0.036375757
-0.476474707,-0.176597626
-0.100599211,0.110932314
-0.157869753,-0.009901564
-0.151468427,-0.295700186
-0.278839621,-0.083427391
0.001414119,-0.281046104
-0.428333966,-0.074203391
0.100751994,-0.191256489
-0.277470158,-0.211329429
0.022955156,0.068708836
-0.001596554,-0.031574823
-0.303803061,-0.404907443
-0.032656265,-0.207197631
-0.07086302,-0.061228417
-0.008555709,-0.084098817
-0.04234783,-0.1128876
-0.212693343,-0.081787466
0.063567201,0.143312919
-0.345176001,0.003100208
-0.316491287,-0.23290976
0.143127601,-0.125191181
-0.239504285,-0.461094526
0.017199406,-0.148112186
-0.063892802,-0.44100706
0.179892658,-0.054911584
-0.42459085,-0.375305376
-0.023394157,0.016706209
-0.001699315,-0.294180317
-0.074945346,-0.351139968
-0.142873813,-0.325519259
-0.003567601,-0.215964612
0.183168084,0.189826871
0.269291703,-0.246352412
-0.125170278,-0.235251059
0.174348069,0.044092854
-0.24244565,-0.311264563
0.193853432,-0.05405997
0.12089284,0.003346547
0.357637238,0.401048645
0.13793365,0.041660946
-0.04103655,-0.103231286
-0.213806579,-0.05250298
-0.198790049,-0.556325806
-0.005481464,-0.472558224
-0.363361491,-0.170587608
7.41E-05,-0.124088791
-0.100161921,-0.201092125
-0.39682359,0.00319413
0.261501394,0.049139306
0.274683429,0.277864629
-0.172348128,-0.133259332
0.217065058,0.428132176
0.520556526,0.263135759
-0.157979176,-0.191896342
-0.203619156,0.119525819
-0.396144328,-0.073399213
-0.018759241,0.114362262
-0.044947483,0.132729914
-0.251380128,-0.267894947
0.036749599,-0.145929464
-0.173214985,-0.475252255
0.280376018,-0.021169853
-0.012768978,-0.362753957
0.051579217,-0.100681992
-0.03685802,-0.03165412
-0.131008124,-0.310434632
-0.161724765,-0.242161893
-0.023863367,-0.147969162
-0.212508955,-0.119544914
-0.056832754,0.123343805
-0.073479908,-0.274663749
-0.069518357,0.22070817
-0.237839016,-0.336799238
-0.139859035,-0.11509684
-0.400522209,-0.344266776
0.16642658,0.088150396
-0.059211784,0.151084413
0.037850285,-0.09815045
0.138027275,0.055558545
0.222125338,0.00866876
0.525982091,0.295710337
-0.446352122,-0.167074369
-0.176393956,-0.398508839
-0.273629675,-0.21982521
0.051364499,0.024263375
-0.04142012,-0.207082077
0.041750883,0.109370524
-0.216406833,-0.255623278
-0.230778005,-0.284131032
-0.026554909,-0.165183072
-0.114495973,-0.036525163
-0.161172612,0.116527218
-0.278535984,-0.286800569
-0.277106201,-0.527697899
-0.042368355,-0.372686443
-0.005790806,0.009880913
0.02007788,0.168916494
-0.04927882,0.123352913
0.339580354,0.279728121
-0.152176989,-0.059511791
-0.094549338,-0.108016826
0.334224385,0.076816308
0.203027399,-0.069216872
-0.117445462,-0.071608715
0.293068519,0.240016888
-0.025911899,-0.089797571
-0.021366962,-0.108248268
-0.376423941,-0.351827013
-0.240482164,-0.056123933
-0.210540407,-0.066622832
0.321740711,0.079947382
0.272968023,-0.045023405
0.079918787,-0.227583611
0.195333812,-0.156873865
0.260038564,-0.113793362
-0.564223685,-0.586648446
-0.024254297,-0.123368651
-0.424546481,-0.225634478
-0.269634259,-0.441999799
0.412675201,0.040051677
0.012564449,-0.292431239
-0.106568516,-0.287930429
-0.223139323,-0.011026206
0.929745369,0.035149813
0.004954444,-0.073738818
0.412045381,0.114964022
-0.076975422,-0.186706227
0.283327407,0.295352953
0.223254631,-0.071695819
0.241977729,-0.066325677
0.217459674,0.179395256
-0.121113768,-0.209902049
-0.221032785,-0.019114746
-0.429100566,-0.13746983
-0.214301664,-0.048201388
0.000518594,-0.052255399
-0.15423716,-0.401320779
0.128150837,0.294482586
-0.21115318,-0.462164292
-0.292419531,-0.401322099
-0.141043721,-0.182067477
-0.200350011,-0.228465648
-0.190490021,-0.061872958
0.404891659,0.292438793
-0.120449422,-0.194849062
-0.00087031,-0.173447443
0.207629359,-0.146302509
0.053683214,-0.239940401
-0.035660271,0.057141725
0.043379551,-0.136049344
0.359924449,0.253259665
0.076369017,-0.123809115
-0.071770419,-0.148330821
-0.328504087,-0.360802506
-0.095586355,-0.108825755
-0.073054531,0.03827564
-0.134832532,-0.116976663
-0.34094105,-0.499051548
0.215791421,-0.233240972
0.314974275,0.377081653
-0.557098778,-0.275966545
0.363012113,0.504868375
0.296361164,0.088463091
-0.089777597,-0.24906838
-0.220128015,-0.106451745
-0.361211789,-0.310298574
-0.169109805,0.157168231
-0.185669076,-0.495091951
0.244254405,0.202811126
0.29301547,-0.087910789
-0.062509089,-0.049010748
-0.231249375,-0.226563546
0.298735597,0.012194442
0.329814891,-0.055054764
0.282510759,0.417747854
-0.159693888,-0.04475112
0.449203288,0.15471783
-0.025449361,-0.115067097
-0.111897264,-0.046355908
-0.083279769,-0.088656207
-0.215140882,-0.182933112
-0.183321583,-0.266895944
0.192925042,0.410539245
0.137417627,0.195652105
-0.327453896,0.009904873
-0.228618943,-0.188962386
-0.240127095,-0.086188456
0.117130824,0.0645544
0.603085436,0.394096885
-0.120412109,0.09367188
0.054351838,-0.230621692
-0.171737135,-0.171596961
-0.074761224,-0.144039362
-0.076537423,0.062312361
0.262948433,-0.166511978
0.184926952,0.07763908
0.006989512,0.295545629
-0.119943012,-0.066835492
-0.217821263,-0.181059476
-0.113633791,-0.035922791
0.265531951,0.473048421
-0.039542987,-0.209842299
0.106696948,0.177025327
-0.620744731,-0.321541913
0.908896631,0.560774631
0.021499699,-0.23374025
-0.129077125,-0.241495264
0.103898144,-0.064277224
-0.076263732,-0.194881071
0.192901182,0.129908239
-0.057592321,-0.006174957
0.023832559,-0.014062125
-0.222625895,-0.195740068
-0.10011269,-0.038160438
-0.1498291,-0.312919701
-0.386626714,-0.460546246
0.28947441,0.187675479
0.008079124,0.008937691
0.449785847,0.2453854
-0.009075149,-0.301576945
0.10173259,-0.089443871
-0.132648431,-0.004320161
0.094435032,-0.044281721
0.461148386,0.325553351
0.054621398,0.247400675
0.053829768,-0.17841126
-0.098960625,-0.084745006
0.053607574,-0.096687377
-0.083325531,-0.324978477
0.500106821,0.270902356
0.049880151,0.01896175
-0.001884952,-0.153684273
0.011447304,-0.174664774
-0.213125207,-0.459498887
0.094449814,0.212602611
0.040211097,0.063627156
0.185053163,0.091786059
0.135084932,-0.106774836
-0.420924973,-0.410754441
-0.064962657,-0.07451297
-0.41896192,-0.399286542
-0.009016663,-0.147316747
0.050645574,-0.096699258
-0.1496723,-0.069614224
-0.389029001,-0.292138648
-0.113214062,-0.240869835
-0.230539112,-0.107991943
-0.181642735,-0.261073231
-0.396054067,-0.421295005
-0.332634828,0.072709157
0.334491066,0.183898079
-0.251165618,-0.323462858
-0.301675172,-0.459076375
0.263322936,0.112689665
0.039719025,0.199810984
0.541541253,0.324420232
-0.091830649,-0.357473375
0.130290401,-0.188196739
0.219509816,0.203084211
-0.364576772,-0.406656283
-0.349626559,-0.264636342
-0.252773485,-0.372466086
-0.016292711,-0.264869595
-0.209652868,-0.478700789
0.28419875,0.066385696
-0.138187962,-0.30456429
-0.271863692,-0.432410276
-0.438379698,-0.369244684
-0.301307552,-0.151877595
-0.048841603,-0.220820134
0.333330709,0.317959542
-0.059045231,-0.194009515
0.217652432,0.091875119
-0.627967341,0.019953837
-0.156988395,-0.144195811
-0.031314427,-0.235230159
-0.097405425,-0.189252115
0.166609067,0.215222276
0.07356858,-0.15921196
-0.276908388,-0.251047178
-0.130533851,-0.194218962
-0.296664528,-0.391747504
-0.22898244,-0.473627271
0.076895828,0.27018657
-0.019745246,-0.243932922
-0.090875637,-0.159677107
-0.003075857,-0.193633734
-0.253854168,-0.40961043
0.313947651,0.070164854
0.032561541,-0.066278311
-0.008957467,0.111858793
0.663765225,0.198285348
-0.314894635,0.150123111
-0.337152246,-0.438237204
0.088779823,0.072563916
-0.033991708,-0.183008548
0.130658051,0.018504971
-0.222175838,-0.034301438
-0.030280467,-0.10129915
0.078229686,0.062813608
-0.051513318,-0.20142845
-0.265306881,-0.229837825
-0.382851082,-0.209851429
0.127514051,-0.075053799
0.042016012,-0.221322135
-0.239320872,-0.282501665
0.067033316,0.159987695
0.048155168,0.025942984
0.096268806,0.003827172
-0.226084554,-0.129830896
-0.34303615,-0.36887366
-0.174279022,0.029072913
-0.138236113,-0.19996759
0.225262758,0.196361714
0.565530976,0.366380472
-0.288519487,-0.249309259
-0.099344239,0.012767938
-0.653960206,-0.812699707
-0.188403712,-0.165184981
0.025415144,0.032313019
0.361929371,0.104219078
-0.112435879,-0.296027516
-0.355811123,-0.109249824
-0.422576175,-0.648450017
0.098832839,-0.152429292
-0.017439482,0.041430181
-0.063955418,0.03255976
-0.189209913,-0.17177636
0.030087384,-0.021637443
0.261962373,0.155591988
0.115077746,-0.23512647
-0.329957227,-0.128806976
0.152337599,0.033899505
0.311707276,0.051528513
-0.251014395,-0.33136692
-0.134586322,0.001561166
-0.149891705,-0.138025823
-0.030107319,-0.189675834
-0.148498041,-0.182870457
0.311236761,0.299584092
0.197259885,0.302497872
0.006494238,0.129962291
0.335068301,0.152604569
-0.133623161,0.047488604
-0.418416288,-0.160179024
-0.121711039,-0.22396648
-0.2163186,-0.153531802
0.118945923,0.102752632
-0.066982416,-0.097718726
-0.246241241,-0.204247244
-0.132391816,-0.026562884
-0.061334239,-0.12454949
0.376982017,0.279234687
-0.107704399,-0.146813695
0.063746022,0.028804665
-0.012284362,0.273559962
0.09362901,0.001904415
-0.394895845,-0.258294207
0.054111128,-0.197147171
0.027982657,-0.164141773
0.531005551,0.435013496
-0.180595478,-0.227770937
-0.278136073,-0.01638905
-0.142351456,-0.264517692
-0.061087467,-0.161661337
0.006947019,-0.139558123
-0.041707961,0.021262051
-0.009506262,0.062260753
0.05139343,-0.139718865
-0.060556345,-0.436072281
0.021688434,0.251497199
-0.25966072,-0.1364723
-0.209020154,-0.090068029
-0.333702976,0.039762068
-0.294371051,0.028567666
-0.024375535,-0.208400151
-0.013410288,-0.301024536
-0.453318678,-0.361135127
0.041469083,-0.045971708
0.115080812,0.024438749
0.076991621,0.055596762
-0.138817344,-0.151840916
0.103688114,0.074318152
-0.101956043,-0.280415711
0.05182733,0.027396887
0.15381307,-0.050385315
-0.364659264,-0.332491878
0.348643165,0.255516071
0.025114869,-0.120748071
-0.250473915,-0.161356238
0.294647191,0.150060462
-0.129649609,-0.340687711
-0.027690891,0.099350217
0.134152023,0.181796961
-0.245034121,-0.151958703
-0.010483895,-0.124491924
0.513765137,0.240329392
0.113807049,-0.0789145
-0.192082818,-0.24925142
0.535688276,0.194449409
0.028576101,0.028125087
-0.076369203,-0.233733419
-0.286005733,-0.67833321
-0.127506004,-0.179316003
-0.258438718,-0.300604632
0.047857053,0.107818119
-0.224787745,-0.074464568
0.13280007,0.032848587
-0.017180943,-0.166604705
-0.253204533,-0.113427027
0.138863324,0.081194949
-0.183457647,-0.144435491
-0.003938236,-0.093304806
0.00639532,-0.050914643
-0.011982506,-0.075863995
-0.264230723,-0.017993533
0.122179282,-0.017327706
0.040031317,0.403843214
0.70541434,0.293683568
0.119726153,0.039410329
-0.217722235,0.109400537
-0.046218219,-0.051382168
0.031286788,-0.193894339
0.152144607,0.063131819
-0.010186094,0.065587994
-0.116839622,-0.18459094
0.404236839,0.397396221
0.166253375,0.655733993
-0.192678228,-0.0097682
-0.161441813,0.436305998
-0.214390012,-0.091222195
0.063578027,0.121623012
-0.260962132,-0.362379747
0.010431366,-0.269785878
-0.285534829,-0.129873931
-0.479664878,-0.209107034
0.052857953,-0.074515515
-0.121068993,-0.193901117
-0.240223873,0.069056715
-0.014218797,-0.046354373
-0.5906998,-0.433208676
-0.275956784,-0.453966896
0.403415893,0.242691711
0.489532496,-0.119348888
-0.23167063,-0.175903984
-0.031411223,0.072765667
-0.130061577,0.02203501
-0.109152097,-0.293324327
-0.0814988,-0.164252807
0.089756435,0.19445141
0.378348156,0.242934475
0.045051578,0.179322686
0.338875016,0.065001802
-0.326702273,-0.280503349
-0.180787071,-0.335478535
-0.220477809,-0.363212921
-0.015277383,-0.217950687
-0.003341032,-0.11349512
0.273875783,0.062089646
0.030052036,0.136969155
-0.218729575,-0.239587182
-0.289690055,-0.198482635
-0.162712045,-0.393985735
-0.216416181,-0.435129294
-0.349949046,-0.353399315
0.190441726,0.305738813
-0.338131524,-0.384982061
0.18043822,0.247361423
-0.21044143,-0.403828527
-0.096270694,-0.108612369
0.010217057,0.157062772
-0.077381873,-0.159558112
-0.409402994,-0.137106377
0.289470858,0.089196947
0.111973622,0.153869514
0.218301064,-0.16252819
-0.650543618,-0.541174206
0.05379756,-0.077223516
0.13969684,0.036588115
0.333706288,0.052968318
0.051787762,0.236944028
0.144022439,0.128005699
0.335443936,-0.009273206
-0.409564762,-0.570966179
-0.157850602,-0.062167945
-0.258498324,-0.299890699
-0.304045508,-0.282339149
-0.307999902,-0.218268226
0.261922327,0.161810178
-0.229628434,-0.29575979
0.141189273,0.473255915
0.047088253,0.204205847
0.233189436,0.025342006
0.134573483,0.026544005
-0.224030304,-0.255585423
0.034584461,0.092159762
-0.201517546,-0.19043035
0.16198652,-0.121400633
0.364205232,0.2027937
-0.050322626,-0.055226647
0.02193652,0.136328666
-0.301095124,0.168516322
-0.302392949,-0.307755542
-0.068768642,-0.194291516
0.013796275,0.034086019
-0.118162894,-0.044812206
-0.165596635,-0.148665361
0.03919261,-0.028786808
0.103429764,0.213379736
0.219958263,0.298286891
-0.202995835,-0.03261868
-0.148616474,-0.141171018
0.054530867,0.018399805
-0.139004963,-0.072105791
-0.214556197,-0.103337831
-0.155529874,-0.232966478
-0.253181617,-0.012937307
0.050232593,-0.017460261
0.105727734,-0.169711929
0.05317617,0.286097805
-0.404935479,-0.15702445
0.006957049,-0.075437704
-0.245519885,-0.081328763
-0.093975439,-0.28212766
-0.212699363,-0.2883717
-0.097794439,-0.116877166
-0.280861349,-0.444625644
-0.176824504,-0.186822104
0.191699506,-0.007669101
-0.126445115,-0.153188855
0.304624058,-0.08630559
-0.001039007,-0.082734335
-0.218583433,-0.099688896
-0.131146336,0.018625397
-0.331290972,-0.14822968
-0.226952953,0.161034013
0.162635117,-0.241167174
-0.451842337,-0.451833801
-0.173450197,-0.503965921
-0.155541425,-0.228757832
-0.066174717,-0.298104375
-0.246184837,-0.233846485
0.061884594,-0.007113935
-0.149211763,-0.101394721
-0.378566462,-0.340424536
0.311753127,0.244450285
0.16691642,0.187635505
-0.371211079,-0.338084857
-0.281781855,-0.242488168
-0.472926078,-0.519235763
-0.213518661,0.250579426
-0.105068198,-0.060366576
0.05035238,-0.24401788
-0.261296892,-0.214383393
-0.077240778,0.101356406
0.306892349,0.32993053
-0.052786299,-0.038946401
0.15765608,0.227576714
0.469978893,0.141228814
-0.26096781,-0.478466064
0.067241461,-0.297923372
0.250513967,0.122865087
-0.107451521,0.127663626
-0.331272376,0.291315608
0.312719909,0.003956666
0.125464113,0.254198711
0.264647244,0.079650838
-0.127907342,-0.158783189
-0.331870212,-0.146911912
0.273633502,0.235057513
-0.148901991,-0.15715973
0.035630775,0.05739448
0.080444242,0.060635853
0.188310747,-0.003141616
0.49144446,0.25505249
-0.293022733,-0.337739109
-0.165690994,-0.000505226
-0.005883488,-0.302778611
-0.248721895,-0.425595589
0.061011525,-0.16456715
0.475872887,0.549153902
0.230589576,0.202030222
-0.142626794,-0.345193631
-0.255627341,-0.03535229
0.347017849,0.390306817
-0.285783877,-0.325358689
-0.01997183,0.119967392
0.038308119,-0.019475164
0.143660408,0.010831338
-0.164711514,-0.302877081
0.220509505,-0.001563158
0.245542918,0.162376052
0.140614333,-0.010060333
0.249577652,0.270503816
-0.346160937,-0.460703096
-0.228846246,0.066170848
0.463323164,0.35530057
-0.092050621,-0.254115136
0.184840549,0.022724
-0.32021869,-0.148623914
0.224153814,0.26991373
-0.066263257,-0.162565928
-0.177880226,-0.028515565
-0.0365804,-0.44536189
-0.18753993,-0.103827558
-0.071173464,-0.042427842
0.43287935,-0.168168473
-0.140943323,-0.26960133
-0.532408326,-0.54132896
-0.241073745,-0.378139378
0.072555987,-0.151801095
0.199473514,0.130761591
0.093322466,0.06161053
0.211025166,-0.02971383
-0.193397284,0.041588728
-0.143752862,-0.209455341
-0.058381107,0.107890979
0.058968355,-0.082177468
-0.106887652,-0.087263773
-0.121410263,-0.075195552
-0.180572375,-0.268028785
-0.102203386,0.157836294
0.396447196,0.116932414
0.225573634,0.298644262
-0.191079816,-0.383656128
-0.07455825,-0.34088373
-0.035117739,-0.174685113
-0.321223204,-0.396194942
-0.138719921,-0.16092057
-0.101561792,-0.242356996
0.172322102,-0.084018253
-0.084081922,0.011334444
-0.153326379,-0.19163676
-0.383260853,0.030536907
-0.12144899,-0.062568629
-0.117886397,-0.175927567
-0.249334125,-0.099950174
0.022032899,-0.036733984
0.211974866,-0.067041811
0.048937709,-0.072898882
0.135444556,-0.35664901
0.081068898,0.19468222
-0.176721804,0.138078639
-0.090624017,-0.100652697
-0.178969128,0.012900731
-0.271968634,-0.136755292
-0.011939823,0.052349668
-0.102331344,-0.197736808
-0.158968301,-0.019751517
-0.044869602,-0.172624182
0.018670436,-0.136414792
0.39695034,0.230537162
-0.189331618,-0.277631364
0.136868862,-0.0730746
-0.410544214,-0.326731393
0.130103717,0.094372718
-0.120488973,0.09131404
0.016790366,0.28389649
-0.169019283,-0.072154018
-0.079444681,-0.190261215
-0.282863442,-0.187324106
0.149723199,-0.163866482
-0.092503429,-0.196347564
-0.334747276,-0.312950806
0.057944456,0.164598617
-0.628587338,-0.341844692
0.13778639,0.079140499
-0.240287679,-0.361224117
-0.181838394,-0.112456648
0.14075038,-0.015500653
-0.02235028,0.100018515
-0.386906273,-0.454546436
-0.153911133,-0.263653768
-0.05119519,-0.278112277
0.253177807,0.145691129
-0.084743746,-0.184164927
0.091049889,-0.164715096
-0.111943491,-0.125124287
0.216097823,0.019949684
-0.024057564,-0.305999806
0.144366033,0.001099501
-0.092396,0.010141766
-0.039771102,-0.065005531
0.159943684,-0.064358564
