PubMed ID,Total Citations,Citations per Year,Expected Citations per Year,Field Citation Rate,Relative Citation Ratio,NIH Percentile,Year,Title,Authors,Journal,Article?
20098672,24,5.84,4.18,5.61,1.40,62.6,2010,Genome wide association for addiction: replicated results and comparisons of two analytic approaches.,"Drgon, Tomas; Zhang, Ping-Wu; Johnson, Catherine; Walther, Donna; Hess, Judith; Nino, Michelle; Uhl, George R",PLoS ONE,TRUE
20104610,15,3.65,3.94,5.13,0.93,47.2,2010,Holoprosencephaly due to numeric chromosome abnormalities.,"Solomon, Benjamin D; Rosenbaum, Kenneth N; Meck, Jeanne M; Muenke, Maximilian",Am J Med Genet C Semin Med Genet,FALSE
20123131,14,4.50,4.83,6.40,0.93,47.4,2011,Hematopoietic cell types: prototype for a revised cell ontology.,"Diehl, Alexander D; Augustine, Alison Deckhut; Blake, Judith A; Cowell, Lindsay G; Gold, Elizabeth S; Gondré-Lewis, Timothy A; Masci, Anna Maria; Meehan, Terrence F; Morel, Penelope A; Nijnik, Anastasia; Peters, Bjoern; Pulendran, Bali; Scheuermann, Richard H; Yao, Q Alison; Zand, Martin S; Mungall, Christopher J",J Biomed Inform,TRUE
20123155,9,2.19,5.84,8.96,0.37,19.8,2010,Somatic mosaicism in the Wiskott-Aldrich syndrome: molecular and functional characterization of genotypic revertants.,"Davis, Brian R; Yan, Qing; Bui, Jacquelin H; Felix, Kumar; Moratto, Daniele; Muul, Linda M; Prokopishyn, Nicole L; Blaese, R Michael; Candotti, Fabio",Clin. Immunol.,TRUE
20137778,24,5.84,4.63,6.52,1.26,58.8,2010,Homozygosity mapping reveals mutations of GRXCR1 as a cause of autosomal-recessive nonsyndromic hearing impairment.,"Schraders, Margit; Lee, Kwanghyuk; Oostrik, Jaap; Huygen, Patrick L M; Ali, Ghazanfar; Hoefsloot, Lies H; Veltman, Joris A; Cremers, Frans P M; Basit, Sulman; Ansar, Muhammad; Cremers, Cor W R J; Kunst, Henricus P M; Ahmad, Wasim; Admiraal, Ronald J C; Leal, Suzanne M; Kremer, Hannie",Am. J. Hum. Genet.,TRUE
20147318,54,13.14,5.11,7.48,2.57,81.9,2010,"Genetic variants in ABO blood group region, plasma soluble E-selectin levels and risk of type 2 diabetes.","Qi, Lu; Cornelis, Marilyn C; Kraft, Peter; Jensen, Majken; van Dam, Rob M; Sun, Qi; Girman, Cynthia J; Laurie, Cathy C; Mirel, Daniel B; Hunter, David J; Rimm, Eric; Hu, Frank B",Hum. Mol. Genet.,TRUE
20148029,217,52.81,5.16,7.58,10.24,98.3,2010,Ancient human genome sequence of an extinct Palaeo-Eskimo.,"Rasmussen, Morten; Li, Yingrui; Lindgreen, Stinus; Pedersen, Jakob Skou; Albrechtsen, Anders; Moltke, Ida; Metspalu, Mait; Metspalu, Ene; Kivisild, Toomas; Gupta, Ramneek; Bertalan, Marcelo; Nielsen, Kasper; Gilbert, M Thomas P; Wang, Yong; Raghavan, Maanasa; Campos, Paula F; Kamp, Hanne Munkholm; Wilson, Andrew S; Gledhill, Andrew; Tridico, Silvana; Bunce, Michael; Lorenzen, Eline D; Binladen, Jonas; Guo, Xiaosen; Zhao, Jing; Zhang, Xiuqing; Zhang, Hao; Li, Zhuo; Chen, Minfeng; Orlando, Ludovic; Kristiansen, Karsten; Bak, Mads; Tommerup, Niels; Bendixen, Christian; Pierre, Tracey L; Grønnow, Bjarne; Meldgaard, Morten; Andreasen, Claus; Fedorova, Sardana A; Osipova, Ludmila P; Higham, Thomas F G; Ramsey, Christopher Bronk; Hansen, Thomas V O; Nielsen, Finn C; Crawford, Michael H; Brunak, Søren; Sicheritz-Pontén, Thomas; Villems, Richard; Nielsen, Rasmus; Krogh, Anders; Wang, Jun; Willerslev, Eske",Nature,FALSE
20157310,72,17.52,4.39,6.05,3.99,90.6,2010,"A common variant of the latrophilin 3 gene, LPHN3, confers susceptibility to ADHD and predicts effectiveness of stimulant medication.","Arcos-Burgos, M; Jain, M; Acosta, M T; Shively, S; Stanescu, H; Wallis, D; Domené, S; Vélez, J I; Karkera, J D; Balog, J; Berg, K; Kleta, R; Gahl, W A; Roessler, E; Long, R; Lie, J; Pineda, D; Londoño, A C; Palacio, J D; Arbelaez, A; Lopera, F; Elia, J; Hakonarson, H; Johansson, S; Knappskog, P M; Haavik, J; Ribases, M; Cormand, B; Bayes, M; Casas, M; Ramos-Quiroga, J A; Hervas, A; Maher, B S; Faraone, S V; Seitz, C; Freitag, C M; Palmason, H; Meyer, J; Romanos, M; Walitza, S; Hemminger, U; Warnke, A; Romanos, J; Renner, T; Jacob, C; Lesch, K-P; Swanson, J; Vortmeyer, A; Bailey-Wilson, J E; Castellanos, F X; Muenke, M",Mol. Psychiatry,TRUE
20157827,4,0.97,4.64,6.54,0.21,10.5,2010,Population description and its role in the interpretation of genetic association.,"Fullerton, Stephanie M; Yu, Joon-Ho; Crouch, Julia; Fryer-Edwards, Kelly; Burke, Wylie",Hum. Genet.,FALSE
20184892,16,3.89,4.32,5.91,0.90,46.1,2010,The membrane complex between transducin and dark-state rhodopsin exhibits large-amplitude interface dynamics on the sub-microsecond timescale: insights from all-atom MD simulations.,"Sgourakis, Nikolaos G; Garcia, Angel E",J. Mol. Biol.,TRUE
20202923,215,52.32,4.38,6.01,11.96,98.7,2010,A genome-wide association study of alcohol dependence.,"Bierut, Laura J; Agrawal, Arpana; Bucholz, Kathleen K; Doheny, Kimberly F; Laurie, Cathy; Pugh, Elizabeth; Fisher, Sherri; Fox, Louis; Howells, William; Bertelsen, Sarah; Hinrichs, Anthony L; Almasy, Laura; Breslau, Naomi; Culverhouse, Robert C; Dick, Danielle M; Edenberg, Howard J; Foroud, Tatiana; Grucza, Richard A; Hatsukami, Dorothy; Hesselbrock, Victor; Johnson, Eric O; Kramer, John; Krueger, Robert F; Kuperman, Samuel; Lynskey, Michael; Mann, Karl; Neuman, Rosalind J; Nöthen, Markus M; Nurnberger, John I; Porjesz, Bernice; Ridinger, Monika; Saccone, Nancy L; Saccone, Scott F; Schuckit, Marc A; Tischfield, Jay A; Wang, Jen C; Rietschel, Marcella; Goate, Alison M; Rice, John P;",Proc. Natl. Acad. Sci. U.S.A.,TRUE
20204374,3,0.73,5.50,8.26,0.13,6.5,2010,Conserved regulatory motifs at phenylethanolamine N-methyltransferase (PNMT) are disrupted by common functional genetic variation: an integrated computational/experimental approach.,"Rodríguez-Flores, Juan L; Zhang, Kuixing; Kang, Sun Woo; Wen, Gen; Ghosh, Sajalendu; Friese, Ryan S; Mahata, Sushil K; Subramaniam, Shankar; Hamilton, Bruce A; O'Connor, Daniel T",Mamm. Genome,TRUE
