Name,Bin.Center,Freq.Dist
JOURNAL OF NEUROSCIENCE,0.395,0.042895712
JOURNAL OF NEUROSCIENCE,0.405,0.036949144
JOURNAL OF NEUROSCIENCE,0.415,0.033542035
JOURNAL OF NEUROSCIENCE,0.425,0.029076817
JOURNAL OF NEUROSCIENCE,0.435,0.026177601
JOURNAL OF NEUROSCIENCE,0.445,0.022516546
JOURNAL OF NEUROSCIENCE,0.455,0.020061734
JOURNAL OF NEUROSCIENCE,0.465,0.016887409
JOURNAL OF NEUROSCIENCE,0.475,0.014665382
JOURNAL OF NEUROSCIENCE,0.485,0.013755409
JOURNAL OF NEUROSCIENCE,0.495,0.011977786
JOURNAL OF NEUROSCIENCE,0.505,0.010221327
JOURNAL OF NEUROSCIENCE,0.515,0.009649948
JOURNAL OF NEUROSCIENCE,0.525,0.007427921
JOURNAL OF NEUROSCIENCE,0.535,0.007470245
JOURNAL OF NEUROSCIENCE,0.545,0.007279785
JOURNAL OF NEUROSCIENCE,0.555,0.005840758
JOURNAL OF NEUROSCIENCE,0.565,0.005163569
JOURNAL OF NEUROSCIENCE,0.575,0.004867298
JOURNAL OF NEUROSCIENCE,0.585,0.003851514
JOURNAL OF NEUROSCIENCE,0.595,0.003407109
JOURNAL OF NEUROSCIENCE,0.605,0.003216649
JOURNAL OF NEUROSCIENCE,0.615,0.002158541
JOURNAL OF NEUROSCIENCE,0.625,0.002497136
JOURNAL OF NEUROSCIENCE,0.635,0.001735298
JOURNAL OF NEUROSCIENCE,0.645,0.001946919
JOURNAL OF NEUROSCIENCE,0.655,0.001417865
JOURNAL OF NEUROSCIENCE,0.665,0.00146019
JOURNAL OF NEUROSCIENCE,0.675,0.001354379
JOURNAL OF NEUROSCIENCE,0.685,0.001142757
JOURNAL OF NEUROSCIENCE,0.695,0.000846487
JOURNAL OF NEUROSCIENCE,0.705,0.000804162
JOURNAL OF NEUROSCIENCE,0.715,0.000719514
JOURNAL OF NEUROSCIENCE,0.725,0.000698352
JOURNAL OF NEUROSCIENCE,0.735,0.000825325
JOURNAL OF NEUROSCIENCE,0.745,0.000529054
JOURNAL OF NEUROSCIENCE,0.755,0.000529054
JOURNAL OF NEUROSCIENCE,0.765,0.000253946
JOURNAL OF NEUROSCIENCE,0.775,0.000232784
JOURNAL OF NEUROSCIENCE,0.785,0.000317433
JOURNAL OF NEUROSCIENCE,0.795,0.000211622
JOURNAL OF NEUROSCIENCE,0.805,0.00019046
JOURNAL OF NEUROSCIENCE,0.815,0.00019046
JOURNAL OF NEUROSCIENCE,0.825,0.000169297
JOURNAL OF NEUROSCIENCE,0.835,0.000148135
JOURNAL OF NEUROSCIENCE,0.845,6.35E-05
JOURNAL OF NEUROSCIENCE,0.855,6.35E-05
JOURNAL OF NEUROSCIENCE,0.875,2.12E-05
JOURNAL OF NEUROSCIENCE,0.885,2.12E-05
NATURE,0.0025,23.49075671
NATURE,0.0075,14.59349637
NATURE,0.0125,16.3119967
NATURE,0.0175,16.28448376
NATURE,0.0225,15.3310547
NATURE,0.0275,14.08239066
NATURE,0.0325,12.54695718
NATURE,0.0375,11.10993534
NATURE,0.0425,9.716299298
NATURE,0.0475,8.578745198
NATURE,0.0525,7.290928138
NATURE,0.0575,6.283531391
NATURE,0.0625,5.520576502
NATURE,0.0675,4.682490132
NATURE,0.0725,3.922709813
NATURE,0.0775,3.434884287
NATURE,0.0825,2.926953154
NATURE,0.0875,2.550237564
NATURE,0.0925,2.27299182
NATURE,0.0975,1.997862456
NATURE,0.1025,1.67088179
NATURE,0.1075,1.500513222
NATURE,0.1125,1.338610173
NATURE,0.1175,1.141786859
NATURE,0.1225,1.06030624
NATURE,0.1275,0.893112242
NATURE,0.1325,0.862424736
NATURE,0.1375,0.815864382
NATURE,0.1425,0.649728574
NATURE,0.1475,0.561898816
NATURE,0.1525,0.558724246
NATURE,0.1575,0.500523804
NATURE,0.1625,0.423275944
NATURE,0.1675,0.412694046
NATURE,0.1725,0.355551793
NATURE,0.1775,0.348144464
NATURE,0.1825,0.337562565
NATURE,0.1875,0.261372896
NATURE,0.1925,0.258198326
NATURE,0.1975,0.244441858
NATURE,0.2025,0.208463403
NATURE,0.2075,0.174601327
NATURE,0.2125,0.187299605
NATURE,0.2175,0.157670289
NATURE,0.2225,0.144972011
NATURE,0.2275,0.133331922
NATURE,0.2325,0.114284505
NATURE,0.2375,0.126982783
NATURE,0.2425,0.095237087
NATURE,0.2475,0.111109935
NATURE,0.2525,0.085713379
NATURE,0.2575,0.07724786
NATURE,0.2625,0.082538809
NATURE,0.2675,0.071956911
NATURE,0.2725,0.059258632
NATURE,0.2775,0.061375012
NATURE,0.2825,0.0730151
NATURE,0.2875,0.060316822
NATURE,0.2925,0.059258632
NATURE,0.2975,0.042327594
NATURE,0.3025,0.042327594
NATURE,0.3075,0.032803886
NATURE,0.3125,0.053967683
NATURE,0.3175,0.047618544
NATURE,0.3225,0.032803886
NATURE,0.3275,0.047618544
NATURE,0.3325,0.033862076
NATURE,0.3375,0.025396557
NATURE,0.3425,0.027512936
NATURE,0.3475,0.024338367
NATURE,0.3525,0.022221987
NATURE,0.3575,0.023280177
NATURE,0.3625,0.020105607
NATURE,0.3675,0.014814658
NATURE,0.3725,0.019047417
NATURE,0.3775,0.019047417
NATURE,0.3825,0.017989228
NATURE,0.3875,0.014814658
NATURE,0.3925,0.014814658
NATURE,0.3975,0.020105607
NATURE,0.4025,0.013756468
NATURE,0.4075,0.009523709
NATURE,0.4125,0.009523709
NATURE,0.4175,0.011640088
NATURE,0.4225,0.007407329
NATURE,0.4275,0.008465519
NATURE,0.4325,0.011640088
NATURE,0.4375,0.012698278
NATURE,0.4425,0.007407329
NATURE,0.4475,0.005290949
NATURE,0.4525,0.006349139
NATURE,0.4575,0.00211638
NATURE,0.4625,0.00317457
NATURE,0.4675,0.004232759
NATURE,0.4725,0.004232759
NATURE,0.4775,0.004232759
NATURE,0.4825,0.007407329
NATURE,0.4875,0.010581899
NATURE,0.4925,0.004232759
NATURE,0.4975,0.00317457
NATURE,0.5025,0.00211638
NATURE,0.5075,0.004232759
NATURE,0.5125,0.00211638
NATURE,0.5175,0.00211638
NATURE,0.5225,0.00211638
NATURE,0.5275,0.005290949
NATURE,0.5325,0.00317457
NATURE,0.5375,0.004232759
NATURE,0.5425,0.00211638
NATURE,0.5525,0.00105819
NATURE,0.5575,0.00211638
NATURE,0.5625,0.00105819
NATURE,0.5675,0.00211638
NATURE,0.5725,0.00105819
NATURE,0.5775,0.00105819
NATURE,0.5825,0.00211638
NATURE,0.5875,0.00105819
NATURE,0.6125,0.00105819
NATURE,0.6175,0.00211638
NATURE,0.6225,0.00105819
NATURE,0.6275,0.00211638
NATURE,0.6975,0.00105819
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.005,20.66520995
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.015,17.98027229
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.025,15.01260515
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.035,11.46358636
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.045,8.5058793
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.055,6.2617568
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.065,4.642070408
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.075,3.450952843
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.085,2.592095197
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.095,1.962255671
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.105,1.498826596
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.115,1.154447357
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.125,0.899571156
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.135,0.705339191
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.145,0.562368249
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.155,0.448314324
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.165,0.360409555
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.175,0.29180573
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.185,0.239311606
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.195,0.199423692
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.205,0.163753725
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.215,0.136297377
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.225,0.11339239
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.235,0.09624011
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.245,0.08122062
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.255,0.067905244
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.265,0.058474401
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.275,0.049509279
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.285,0.042147717
