Name,Bin.Center,Freq.Dist
JOURNAL OF NEUROSCIENCE,0.405,0.001671811
JOURNAL OF NEUROSCIENCE,0.415,0.001354379
JOURNAL OF NEUROSCIENCE,0.425,0.001333217
JOURNAL OF NEUROSCIENCE,0.435,0.001396703
JOURNAL OF NEUROSCIENCE,0.445,0.000952298
JOURNAL OF NEUROSCIENCE,0.455,0.000804162
JOURNAL OF NEUROSCIENCE,0.465,0.001058108
JOURNAL OF NEUROSCIENCE,0.475,0.000740676
JOURNAL OF NEUROSCIENCE,0.485,0.000592541
JOURNAL OF NEUROSCIENCE,0.495,0.000507892
JOURNAL OF NEUROSCIENCE,0.505,0.000338595
JOURNAL OF NEUROSCIENCE,0.515,0.000359757
JOURNAL OF NEUROSCIENCE,0.525,0.000571379
JOURNAL OF NEUROSCIENCE,0.535,0.000253946
JOURNAL OF NEUROSCIENCE,0.545,0.000423243
JOURNAL OF NEUROSCIENCE,0.555,0.000402081
JOURNAL OF NEUROSCIENCE,0.565,0.000211622
JOURNAL OF NEUROSCIENCE,0.575,0.00029627
JOURNAL OF NEUROSCIENCE,0.585,0.00029627
JOURNAL OF NEUROSCIENCE,0.595,0.000169297
JOURNAL OF NEUROSCIENCE,0.605,0.000232784
JOURNAL OF NEUROSCIENCE,0.615,6.35E-05
JOURNAL OF NEUROSCIENCE,0.625,0.000126973
JOURNAL OF NEUROSCIENCE,0.635,0.000126973
JOURNAL OF NEUROSCIENCE,0.645,4.23E-05
JOURNAL OF NEUROSCIENCE,0.655,6.35E-05
JOURNAL OF NEUROSCIENCE,0.665,8.46E-05
JOURNAL OF NEUROSCIENCE,0.675,4.23E-05
JOURNAL OF NEUROSCIENCE,0.685,2.12E-05
JOURNAL OF NEUROSCIENCE,0.695,2.12E-05
JOURNAL OF NEUROSCIENCE,0.705,2.12E-05
JOURNAL OF NEUROSCIENCE,0.715,2.12E-05
JOURNAL OF NEUROSCIENCE,0.725,2.12E-05
JOURNAL OF NEUROSCIENCE,0.735,4.23E-05
JOURNAL OF NEUROSCIENCE,0.745,2.12E-05
JOURNAL OF NEUROSCIENCE,0.775,2.12E-05
JOURNAL OF NEUROSCIENCE,0.795,2.12E-05
JOURNAL OF NEUROSCIENCE,0.815,2.12E-05
JOURNAL OF NEUROSCIENCE,0.835,2.12E-05
JOURNAL OF NEUROSCIENCE,0.865,2.12E-05
NATURE,0.0025,93.84980053
NATURE,0.0075,50.83226633
NATURE,0.0125,23.47805843
NATURE,0.0175,11.41786859
NATURE,0.0225,6.060253331
NATURE,0.0275,3.761864954
NATURE,0.0325,2.359763389
NATURE,0.0375,1.716383954
NATURE,0.0425,1.225383858
NATURE,0.0475,0.887821293
NATURE,0.0525,0.686765219
NATURE,0.0575,0.520629411
NATURE,0.0625,0.423275944
NATURE,0.0675,0.351319034
NATURE,0.0725,0.259256516
NATURE,0.0775,0.247616427
NATURE,0.0825,0.220103491
NATURE,0.0875,0.169310378
NATURE,0.0925,0.129099163
NATURE,0.0975,0.129099163
NATURE,0.1025,0.096295277
NATURE,0.1075,0.095237087
NATURE,0.1125,0.085713379
NATURE,0.1175,0.071956911
NATURE,0.1225,0.0730151
NATURE,0.1275,0.061375012
NATURE,0.1325,0.052909493
NATURE,0.1375,0.044443974
NATURE,0.1425,0.055025873
NATURE,0.1475,0.040211215
NATURE,0.1525,0.029629316
NATURE,0.1575,0.035978455
NATURE,0.1625,0.042327594
NATURE,0.1675,0.022221987
NATURE,0.1725,0.029629316
NATURE,0.1775,0.030687506
NATURE,0.1825,0.022221987
NATURE,0.1875,0.023280177
NATURE,0.1925,0.016931038
NATURE,0.1975,0.019047417
NATURE,0.2025,0.022221987
NATURE,0.2075,0.023280177
NATURE,0.2125,0.025396557
NATURE,0.2175,0.014814658
NATURE,0.2225,0.011640088
NATURE,0.2275,0.015872848
NATURE,0.2325,0.014814658
NATURE,0.2375,0.012698278
NATURE,0.2425,0.008465519
NATURE,0.2475,0.006349139
NATURE,0.2525,0.010581899
NATURE,0.2575,0.008465519
NATURE,0.2625,0.008465519
NATURE,0.2675,0.006349139
NATURE,0.2725,0.008465519
NATURE,0.2775,0.00317457
NATURE,0.2825,0.008465519
NATURE,0.2875,0.008465519
NATURE,0.2925,0.004232759
NATURE,0.2975,0.00211638
NATURE,0.3025,0.00211638
NATURE,0.3075,0.00317457
NATURE,0.3125,0.008465519
NATURE,0.3175,0.009523709
NATURE,0.3225,0.004232759
NATURE,0.3275,0.005290949
NATURE,0.3325,0.005290949
NATURE,0.3375,0.005290949
NATURE,0.3425,0.008465519
NATURE,0.3475,0.00317457
NATURE,0.3525,0.00317457
NATURE,0.3575,0.005290949
NATURE,0.3625,0.00211638
NATURE,0.3675,0.00211638
NATURE,0.3775,0.00105819
NATURE,0.3825,0.00211638
NATURE,0.3925,0.004232759
NATURE,0.3975,0.00211638
NATURE,0.4025,0.00105819
NATURE,0.4125,0.00105819
NATURE,0.4175,0.00211638
NATURE,0.4225,0.004232759
NATURE,0.4275,0.00105819
NATURE,0.4375,0.00105819
NATURE,0.4475,0.00317457
NATURE,0.4525,0.00105819
NATURE,0.4625,0.00211638
NATURE,0.4725,0.00105819
NATURE,0.4825,0.00211638
NATURE,0.5175,0.00211638
NATURE,0.5525,0.00105819
NATURE,0.5875,0.00105819
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.005,71.51890233
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.015,18.72276857
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.025,5.374617209
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.035,2.040591999
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.045,0.937855509
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.055,0.494563558
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.065,0.283676788
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.075,0.176735688
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.085,0.11548284
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.095,0.079982226
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.105,0.055733
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.115,0.039771484
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.125,0.030774608
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.135,0.02307434
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.145,0.018067844
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.155,0.014225648
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.165,0.011584801
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.175,0.00944672
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.185,0.007710852
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.195,0.00643012
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.205,0.005001205
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.215,0.004471977
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.225,0.003619919
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.235,0.003307675
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.245,0.002587925
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.255,0.002270388
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.265,0.001979313
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.275,0.001651191
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.285,0.001550638
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.295,0.001291316
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.305,0.001375993
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.315,0.001058456
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.325,0.000883811
